surface	cab_norm	count	class	ruling	result	reason
Einzelnheiten	Einzelheiten	2	residual	reject	Einzelnheiten	Hegelian term of art
ebendaſſelbe	eben_dasselbe	2	residual	rewrite	ebendasselbe	CAB underscore artifact; keep word
Nemlich	Nämlich	1	residual	accept	Nämlich	plan: straight modernization
Sebstbewuſstseyn	Sebstbewusstseyn	1	ss_audit	rewrite	Sebstbewusstsein	house post-1996: -wusstsein
Selbstbebewuſstseyn	Selbstbebewusstseyn	1	ss_audit	rewrite	Selbstbebewusstsein	house post-1996: -wusstsein
Bewuſstsein	Bewusstsein	1	ss_audit	rewrite	Bewusstsein	house post-1996: -wusstsein
Pflichtbewuſstseyns	Pflichtbewusstseins	1	ss_audit	rewrite	Pflichtbewusstseins	house post-1996: -wusstsein
daſs	dass	1179	ss_audit	accept	dass	ss after short vowel
Gewiſsheit	Gewissheit	242	ss_audit	accept	Gewissheit	ss after short i
Wiſſen	Wissen	217	ss_audit	accept	Wissen	ss after short i
muſs	muss	183	ss_audit	accept	muss	ss after short u
Verhältniſs	Verhältnis	91	residual	accept	Verhältnis	modern -nis suffix single s
deſſelben	desselben	82	ss_audit	accept	desselben	ss after short e
daſſelbe	dasselbe	72	ss_audit	accept	dasselbe	ss after short a
deſſen	dessen	69	ss_audit	accept	dessen	ss after short e
bewuſst	bewusst	60	ss_audit	accept	bewusst	ss after short u
Wiſſens	Wissens	60	ss_audit	accept	Wissens	ss after short i
läſst	lässt	57	ss_audit	accept	lässt	ss after short ä
willen	Willen	55	residual	reject	willen	um ... willen stays lowercase
Princip	Prinzip	48	residual	accept	Prinzip	Latinate c to z
auſser	außer	45	residual	accept	außer	ß after diphthong au
Gewiſſen	Gewissen	45	ss_audit	accept	Gewissen	ss after short i
Daſs	Dass	44	ss_audit	accept	Dass	ss after short a
Entäuſſerung	Entäußerung	42	residual	accept	Entäußerung	ß after diphthong äu
wiſſen	wissen	40	ss_audit	accept	wissen	ss after short i
Wiſſenſchaft	Wissenschaft	38	ss_audit	accept	Wissenschaft	ss after short i
innern	inneren	38	residual	reject	innern	elision stays, valid modern German
Genuſs	Genuss	38	ss_audit	accept	Genuss	ss after short u
Andersseyn	Anderssein	37	ss_audit	accept	Anderssein	ey to ei, one word
Gröſse	Größe	36	residual	accept	Größe	ß after long ö
Ueberzeugung	Überzeugung	35	residual	accept	Überzeugung	Ue to Ü
auſſer	außer	35	residual	accept	außer	ß after diphthong au
reflectirt	reflektiert	35	residual	accept	reflektiert	c to k, -irt to -iert
erfaſst	erfasst	34	ss_audit	accept	erfasst	ss after short a
Innre	Innere	34	residual	reject	Innre	elision stays, valid modern German
Andersſeyn	Anderssein	30	ss_audit	accept	Anderssein	ey to ei, one word
bewuſste	bewusste	30	ss_audit	accept	bewusste	ss after short u
Uebergang	Übergang	29	residual	accept	Übergang	Ue to Ü
innre	innere	27	residual	reject	innre	elision stays
müſste	müsste	26	ss_audit	accept	müsste	ss after short ü
gemäſs	gemäß	26	residual	accept	gemäß	ß after long ä
aufgehobne	aufgehobene	26	residual	reject	aufgehobne	elision stays
Aeuſsere	äußere	26	residual	rewrite	Äußere	noun keeps capital; äu takes ß
wiſſende	wissende	25	ss_audit	accept	wissende	ss after short i
gewuſst	gewusst	24	ss_audit	accept	gewusst	ss after short u
selbstbewuſsten	selbstbewussten	24	ss_audit	accept	selbstbewussten	ss after short u
Aeuſserung	Äusserung	23	residual	rewrite	Äußerung	ß after diphthong äu
Verhältniſſe	Verhältnisse	22	ss_audit	accept	Verhältnisse	ss after short i
Willkühr	Willkür	21	residual	accept	Willkür	silent h dropped
deſswegen	deswegen	21	residual	accept	deswegen	modern single s
äuſsere	äußere	21	residual	accept	äußere	ß after diphthong äu
letztern	letzteren	20	residual	reject	letztern	elision stays
bloſs	bloß	20	residual	accept	bloß	ß after long o
Skepticismus	Skeptizismus	20	residual	accept	Skeptizismus	Latinate c to z
selbstständig	selbständig	20	residual	reject	selbstständig	valid post-1996 form
aufgefaſst	aufgefasst	19	ss_audit	accept	aufgefasst	ss after short a
zufälliges	Zufälliges	19	residual	reject	zufälliges	adjective keeps its lowercase
Proceſs	Prozess	19	residual	accept	Prozess	c to z, ss short e
todte	tote	19	residual	accept	tote	dt to t
gewiſs	gewiss	19	ss_audit	accept	gewiss	ss after short i
wiſſenden	wissenden	18	ss_audit	accept	wissenden	ss after short i
Aeuſsern	äußern	18	residual	rewrite	Äußern	noun keeps capital; äu takes ß
Mannichfaltigkeit	Mannigfaltigkeit	17	residual	accept	Mannigfaltigkeit	ch to g
Maſſen	Massen	17	ss_audit	accept	Massen	Masse (mass) plural, short a
Electricität	Elektrizität	17	residual	accept	Elektrizität	c to k and z
Maſsstab	Massstab	17	ss_audit	rewrite	Maßstab	long a takes ß
selbstbewuſste	selbstbewusste	17	ss_audit	accept	selbstbewusste	ss after short u
bewuſstlose	bewusstlose	16	ss_audit	accept	bewusstlose	ss after short u
gewiſſe	gewisse	16	ss_audit	accept	gewisse	ss after short i
Kenntniſs	Kenntnis	15	residual	accept	Kenntnis	modern -nis suffix single s
Erkenntniſs	Erkenntnis	15	residual	accept	Erkenntnis	modern -nis suffix single s
Realisirung	Realisierung	15	residual	accept	Realisierung	-irung to -ierung
Aeuſserlichkeit	Äusserlichkeit	15	residual	rewrite	Äußerlichkeit	ß after diphthong äu
Foderung	Forderung	14	residual	accept	Forderung	modern Forderung
beſondern	besonderen	14	residual	reject	besondern	elision stays
fürsichseyn	Für-sich-sein	14	residual	rewrite	fürsichsein	one word, lowercase as printed
Aeuſseres	Äußeres	14	residual	accept	Äußeres	Ae to Ä, äu takes ß
besondern	besonderen	14	residual	reject	besondern	elision stays
entäuſſert	entäußert	14	residual	accept	entäußert	ß after diphthong äu
Intereſſe	Interesse	13	ss_audit	accept	Interesse	ss after short e
vollkommne	vollkommene	13	residual	reject	vollkommne	elision stays
Innres	Inneres	13	residual	reject	Innres	elision stays
kömmt	kommt	13	residual	reject	kömmt	archaic inflection, not orthography
Uebergehen	Übergehen	13	residual	accept	Übergehen	Ue to Ü
schlieſst	schließt	13	residual	accept	schließt	ß after long ie
ſelbſtbewuſsten	selbstbewussten	13	ss_audit	accept	selbstbewussten	ss after short u
reflectirte	reflektierte	13	residual	accept	reflektierte	c to k, -irte to -ierte
existirt	existiert	13	residual	accept	existiert	-irt to -iert
frühern	früheren	12	residual	reject	frühern	elision stays
müſſen	müssen	12	ss_audit	accept	müssen	ss after short ü
faſſen	fassen	12	ss_audit	accept	fassen	ss after short a
ausſpricht	ausspricht	12	ss_audit	accept	ausspricht	glyph folding only
Wiſſenschaft	Wissenschaft	12	ss_audit	accept	Wissenschaft	ss after short i
Gewiſſens	Gewissens	12	ss_audit	accept	Gewissens	ss after short i
sollicitirende	sollizitierende	12	residual	accept	sollizitierende	c to z, -irende to -ierende
faſst	fasst	12	ss_audit	accept	fasst	ss after short a
vorhandne	vorhandene	12	residual	reject	vorhandne	elision stays
bewuſsten	bewussten	12	ss_audit	accept	bewussten	ss after short u
Entäuſserung	Entäusserung	12	ss_audit	rewrite	Entäußerung	ß after diphthong äu
aufgehobnes	aufgehobenes	12	residual	reject	aufgehobnes	elision stays
Nahmen	Namen	11	residual	accept	Namen	silent h dropped
laſſen	lassen	11	ss_audit	accept	lassen	ss after short a
Gräntze	Grenze	11	residual	accept	Grenze	modern Grenze
äuſserliche	äußerliche	11	residual	accept	äußerliche	ß after diphthong äu
Wissenschafft	Wissenschaft	11	ss_audit	accept	Wissenschaft	ff to f
Stoicismus	Stoizismus	11	residual	accept	Stoizismus	Latinate c to z
gewiſſen	gewissen	11	ss_audit	accept	gewissen	ss after short i
äuſſerlich	äußerlich	10	residual	accept	äußerlich	ß after diphthong äu
Statt	Stadt	10	residual	reject	Statt	statt/Statt, not Stadt
Ausſprechen	Aussprechen	10	ss_audit	accept	Aussprechen	glyph folding only
Prüffen	prüfen	10	residual	rewrite	Prüfen	ff to f; keeps capital
sollicitirt	sollizitiert	10	residual	accept	sollizitiert	c to z, -irt to -iert
abstöſst	abstößt	10	residual	accept	abstößt	ß after long ö
specifische	spezifische	10	residual	accept	spezifische	Latinate c to z
höhern	höheren	10	residual	reject	höhern	elision stays
bewuſstlosen	bewusstlosen	10	ss_audit	accept	bewusstlosen	ss after short u
äuſſern	äußeren	9	residual	rewrite	äußern	elision stays; äu takes ß
Genuſſe	Genusse	9	ss_audit	accept	Genusse	ss after short u
Zerriſſenheit	Zerrissenheit	9	ss_audit	accept	Zerrissenheit	ss after short i
äuſſerliche	äußerliche	9	residual	accept	äußerliche	ß after diphthong äu
vergiſst	vergisst	9	ss_audit	accept	vergisst	ss after short i
anderemal	andermal	9	residual	reject	anderemal	word form stays
andremal	anderemal	9	residual	reject	andremal	word form stays
genieſst	genießt	9	residual	accept	genießt	ß after long ie
fixirt	fixiert	9	residual	accept	fixiert	-irt to -iert
äuſſere	äußere	8	residual	accept	äußere	ß after diphthong äu
gefaſst	gefaßt	8	residual	reject	gefasst	post-1996 ss, CAB gave ß
groſs	groß	8	residual	accept	groß	ß after long o
mannichfaltigen	mannigfaltigen	8	residual	accept	mannigfaltigen	ch to g
gewordne	gewordene	8	residual	reject	gewordne	elision stays
reflectirtes	reflektiertes	8	residual	accept	reflektiertes	c to k, -irtes to -iertes
befaſst	befasst	8	ss_audit	accept	befasst	ss after short a
Andersſeyns	Andersseins	8	ss_audit	accept	Andersseins	ey to ei, one word
äuſſerliches	Äußerliches	8	residual	rewrite	äußerliches	adjective keeps its lowercase
äuſſerlichen	äußerlichen	8	residual	accept	äußerlichen	ß after diphthong äu
äuſserlich	äußerlich	8	residual	accept	äußerlich	ß after diphthong äu
unterschiednen	unterschiedenen	8	residual	reject	unterschiednen	elision stays
erweiſst	erweist	8	residual	accept	erweist	modern erweist, long ei
afficirt	affiziert	8	residual	accept	affiziert	c to z, -irt to -iert
Einsseyn	Einssein	8	ss_audit	accept	Einssein	ey to ei, one word
Alsdenn	Alsdann	8	residual	accept	Alsdann	modern alsdann
alsdenn	alsdann	8	residual	accept	alsdann	modern alsdann
ebendiſs	ebendies	8	residual	accept	ebendies	diſs is dies, lowercase kept
ausſagt	aussagt	8	ss_audit	accept	aussagt	glyph folding only
ſchlieſst	schließt	7	residual	accept	schließt	ß after long ie
ſelbſtbewuſste	selbstbewusste	7	ss_audit	accept	selbstbewusste	ss after short u
bloſſe	bloße	7	residual	accept	bloße	ß after long o
hievon	hiervon	7	residual	rewrite	hiervon	hie-→hier- per plan precedent
ausſprechen	aussprechen	7	ss_audit	accept	aussprechen	glyph folding only
Bedürfniſs	Bedürfnis	7	residual	accept	Bedürfnis	modern -nis suffix single s
Zusammenhang	Zusammenhäng	7	residual	reject	Zusammenhang	CAB corrupted the word
zusammengefaſst	zusammengefasst	7	ss_audit	accept	zusammengefasst	ss after short a
Andersseyns	Andersseins	7	ss_audit	accept	Andersseins	ey to ei, one word
reflectirtseyn	Reflektiertsein	7	residual	rewrite	reflektiertsein	one word, lowercase as printed
unterschiedne	unterschiedene	7	residual	reject	unterschiedne	elision stays
Schluſs	Schluss	7	ss_audit	accept	Schluss	ss after short u
Processes	Prozesses	7	residual	accept	Prozesses	c to z, ss short e
realisirt	realisiert	7	residual	accept	realisiert	-irt to -iert
Wollens	Wollen_es	7	residual	reject	Wollens	CAB artifact Wollen_es
äuſseres	äußeres	7	residual	accept	äußeres	ß after diphthong äu
ansichseyende	an-sich-seiende	7	residual	rewrite	ansichseiende	compound stays one word
Einfluſs	Einfluss	7	ss_audit	accept	Einfluss	ss after short u
„	"	7	residual	reject	„	punctuation stays as printed
isolirt	isoliert	7	residual	accept	isoliert	-irt to -iert
Genuſse	Genusse	7	ss_audit	accept	Genusse	ss after short u
aufgehobnen	aufgehobenen	7	residual	reject	aufgehobnen	elision stays
Zevs	Zeus	7	residual	accept	Zeus	v-for-u convention; modern German Zeus
Wiſſenſchafft	Wissenschaft	6	ss_audit	accept	Wissenschaft	ss short i, ff to f
Verhältniſſes	Verhältnisses	6	ss_audit	accept	Verhältnisses	ss after short i
exiſtirt	existiert	6	residual	accept	existiert	-irt to -iert
groſse	große	6	residual	accept	große	ß after long o
gefodert	gefordert	6	residual	accept	gefordert	modern gefordert
fodern	fordern	6	residual	accept	fordern	modern fordern
erfodert	erfordert	6	residual	accept	erfordert	modern erfordert
Princips	Prinzips	6	residual	accept	Prinzips	Latinate c to z
Andres	Anderes	6	residual	reject	Andres	elision stays
Maſſe	Maße	6	residual	reject	Masse	Masse (mass), not Maße
bloſſen	bloßen	6	residual	accept	bloßen	ß after long o
verlaſſen	verlassen	6	ss_audit	accept	verlassen	ss after short a
fodert	fordert	6	residual	accept	fordert	modern fordert
ausschlieſsendes	ausschließendes	6	residual	accept	ausschließendes	ß after long ie
mannichfaltige	mannigfaltige	6	residual	accept	mannigfaltige	ch to g
äuſsern	äußeren	6	residual	rewrite	äußern	elision stays; äu takes ß
Uebersinnliche	Übersinnliche	6	residual	accept	Übersinnliche	Ue to Ü
Tavtologie	Tautologie	6	residual	accept	Tautologie	v-for-u convention
bewuſstes	bewusstes	6	ss_audit	accept	bewusstes	ss after short u
Erwiederung	Erwiderung	6	residual	accept	Erwiderung	modern Erwiderung
reflectirende	reflektierende	6	residual	accept	reflektierende	c to k, -irende to -ierende
worinn	worin	6	residual	accept	worin	nn to n
selbſtbewuſste	selbstbewusste	6	ss_audit	accept	selbstbewusste	ss after short u
vollkommnen	vollkommenen	6	residual	reject	vollkommnen	elision stays
Aeuſſerlichkeit	Äußerlichkeit	6	residual	accept	Äußerlichkeit	Ae to Ä, äu takes ß
anſichſeyende	an-sich-seiende	6	residual	rewrite	ansichseiende	compound stays one word
willkührliche	willkürliche	5	residual	accept	willkürliche	silent h dropped
Auffaſſen	Auffassen	5	ss_audit	accept	Auffassen	ss after short a
Selbſtſtändigkeit	Selbständigkeit	5	residual	reject	Selbstständigkeit	surface form valid post-1996
Ichs	Ich_es	5	residual	reject	Ichs	CAB artifact Ich_es
hiebey	hierbei	5	residual	rewrite	hierbei	hie-→hier- per plan precedent
Zuſammenhang	Zusammenhäng	5	residual	reject	Zusammenhang	CAB corrupted the word
Schema’s	Schema's	5	residual	rewrite	Schemas	modern drops genitive apostrophe
Rythmus	Rhythmus	5	residual	accept	Rhythmus	Greek stem keeps rh/th
müſſe	müsse	5	ss_audit	accept	müsse	ss after short ü
Bewandniſs	Bewandtnis	5	residual	accept	Bewandtnis	modern Bewandtnis
anderseits	andererseits	5	residual	reject	anderseits	valid modern German variant
ausschlieſst	ausschließt	5	residual	accept	ausschließt	ß after long ie
äuſserer	äußerer	5	residual	accept	äußerer	ß after diphthong äu
auffaſst	auffasst	5	ss_audit	accept	auffasst	ss after short a
hienach	hiernach	5	residual	rewrite	hiernach	hie-→hier- per plan precedent
auſsen	außen	5	residual	accept	außen	ß after diphthong au
sollicitirte	sollizitierte	5	residual	accept	sollizitierte	c to z, -irte to -ierte
Disseits	Diesseits	5	residual	accept	Diesseits	modern Diesseits
bloſsen	bloßen	5	residual	accept	bloßen	ß after long o
erstern	ersteren	5	residual	reject	erstern	elided inflection stays
Processe	Prozesse	5	residual	accept	Prozesse	Latinate c to z
fürsichseyenden	für-sich-seienden	5	residual	rewrite	fürsichseienden	compound stays one word
Reflectirtseyn	Reflektiertsein	5	residual	accept	Reflektiertsein	c/k, -irt/-iert, seyn/sein
“	"	5	residual	reject	“	punctuation stays as printed
daseyenden	da-seienden	5	residual	rewrite	daseienden	no hyphenation; ey to ei
Uebel	Übel	5	residual	accept	Übel	Ue to Ü
Principe	Prinzip	5	residual	rewrite	Prinzipe	dative -e stays; c to z
entäuſſerte	entäußerte	5	residual	accept	entäußerte	äu diphthong takes ß
abgeschiednen	abgeschiedenen	5	residual	reject	abgeschiednen	elided inflection stays
Zeugniſſe	Zeugnisse	5	ss_audit	accept	Zeugnisse	short i takes ss
unrecht	Unrecht	5	residual	reject	unrecht	predicative adjective; surface case
Genuſſes	Genusses	5	ss_audit	accept	Genusses	short u takes ss
überflüſsig	überflüssig	4	ss_audit	accept	überflüssig	short ü takes ss
bloſse	bloße	4	residual	accept	bloße	long o takes ß
vergeſſen	vergessen	4	ss_audit	accept	vergessen	short e takes ss
Aeuſſerung	Äußerung	4	residual	accept	Äußerung	Ae to Ä; äu takes ß
löſst	löst	4	residual	accept	löst	lösen gives löst
vermiſst	vermisst	4	ss_audit	accept	vermisst	short i takes ss
zweckmäſsige	zweckmässige	4	ss_audit	rewrite	zweckmäßige	-mäßig has long ä
Vorausſetzung	Voraussetzung	4	ss_audit	accept	Voraussetzung	compound s plus s
Aether	Äther	4	residual	accept	Äther	Greek th kept
iſolirt	isoliert	4	residual	accept	isoliert	-irt to -iert
wüſste	wüsste	4	ss_audit	accept	wüsste	short ü takes ss
todtes	totes	4	residual	accept	totes	dt to t
Uebergange	Übergange	4	residual	accept	Übergange	Ue to Ü; dative -e kept
abſtrahirt	abstrahiert	4	residual	accept	abstrahiert	-irt to -iert
todten	toten	4	residual	accept	toten	dt to t
überläſst	überlässt	4	ss_audit	accept	überlässt	short a takes ss
Räsonniren	Räsonieren	4	residual	accept	Räsonieren	-iren to -ieren
Accidenzen	Akzidenzen	4	residual	accept	Akzidenzen	Latinate c to k/z
Philoſophiren	Philosophieren	4	residual	accept	Philosophieren	-iren to -ieren
Maſsſtab	Massstab	4	ss_audit	rewrite	Maßstab	Maß has long a
tode	Tode	4	residual	rewrite	tote	adjective; surface lowercase
Miſstrauen	Misstrauen	4	ss_audit	accept	Misstrauen	miss- prefix, short i
Ahndung	Ahnung	4	residual	accept	Ahnung	old spelling of Ahnung
Innhalt	Inhalt	4	residual	accept	Inhalt	nn to n
Sehens	Sehen_es	4	residual	reject	Sehens	CAB split artifact
Geheimniſs	Geheimnis	4	residual	accept	Geheimnis	-nis ending
müſsten	müssten	4	ss_audit	accept	müssten	short ü takes ss
Negiren	Negieren	4	residual	accept	Negieren	-iren to -ieren
ausschlieſsende	ausschließende	4	residual	accept	ausschließende	long ie takes ß
zusammenschlieſst	zusammenschließt	4	residual	accept	zusammenschließt	long ie takes ß
Unwesenheit	Unwesenhit	4	residual	reject	Unwesenheit	CAB typo
reflectirten	reflektierten	4	residual	accept	reflektierten	c to k; -irt to -iert
äuſsert	äußert	4	residual	accept	äußert	äu diphthong takes ß
existiren	existieren	4	residual	accept	existieren	-iren to -ieren
einemal	einmal	4	residual	reject	einemal	correlative form stays
Gröſsen	Größen	4	residual	accept	Größen	long ö takes ß
hieher	hierher	4	residual	rewrite	hierher	hie-→hier- per plan precedent
Formiren	Formieren	4	residual	accept	Formieren	-iren to -ieren
Genieſsen	Geniessen	4	ss_audit	rewrite	Genießen	genießen has long ie
gebrochne	gebrochene	4	residual	reject	gebrochne	elided inflection stays
abläſst	ablässt	4	ss_audit	accept	ablässt	short a takes ss
fürsichseyns	Fürsichseins	4	residual	rewrite	fürsichseins	surface case; one word
Merkmahle	Merkmale	4	residual	accept	Merkmale	silent h dropped
verläſst	verlässt	4	ss_audit	accept	verlässt	short a takes ss
Aeuſserungen	Äusserungen	4	residual	rewrite	Äußerungen	äu diphthong takes ß
gröſsere	größere	4	residual	accept	größere	long ö takes ß
specifischen	spezifischen	4	residual	accept	spezifischen	Latinate c to z
Gebehrde	Gebärde	4	residual	accept	Gebärde	eh to ä
bewuſstlos	bewusstlos	4	ss_audit	accept	bewusstlos	short u takes ss
genieſsen	genießen	4	residual	accept	genießen	long ie takes ß
realisiren	realisieren	4	residual	accept	realisieren	-iren to -ieren
Principien	Prinzipien	4	residual	accept	Prinzipien	Latinate c to z
umfaſst	umfasst	4	ss_audit	accept	umfasst	short a takes ss
beweiſst	beweist	4	residual	accept	beweist	beweisen gives beweist
Bewuſstlosen	Bewusstlosen	4	ss_audit	accept	Bewusstlosen	short u takes ss
Rükkehr	Rückkehr	4	residual	accept	Rückkehr	kk to ck
Edeln	Edlen	4	residual	reject	Edeln	Hegel's inflection stays
Realiſirung	Realisierung	4	residual	accept	Realisierung	-irung to -ierung
verschiednen	verschiedenen	4	residual	reject	verschiednen	elided inflection stays
Uebereinſtimmung	Übereinstimmung	4	residual	accept	Übereinstimmung	Ue to Ü
thörigt	töricht	4	residual	accept	töricht	archaic -igt to -icht
ſelbſtbewuſstes	selbstbewusstes	4	ss_audit	accept	selbstbewusstes	short u takes ss
poſtulirt	postuliert	4	residual	accept	postuliert	-irt to -iert
selbſtbewuſsten	selbstbewussten	4	ss_audit	accept	selbstbewussten	short u takes ss
geoffenbart	offenbart	4	residual	reject	geoffenbart	valid modern participle
auſserdem	außerdem	3	residual	accept	außerdem	au diphthong takes ß
Kenntniſſen	Kenntnissen	3	ss_audit	accept	Kenntnissen	short i takes ss
nakte	nackte	3	residual	accept	nackte	k to ck
gelaſſen	gelassen	3	ss_audit	accept	gelassen	short a takes ss
Kenntniſſe	Kenntnisse	3	ss_audit	accept	Kenntnisse	short i takes ss
wiſſenſchafftliche	wissenschaftliche	3	ss_audit	accept	wissenschaftliche	ff to f; short i ss
Centrum	Zentrum	3	residual	accept	Zentrum	Latinate C to Z
gebähren	gebären	3	residual	accept	gebären	äh to ä
wiſſenſchaftliche	wissenschaftliche	3	ss_audit	accept	wissenschaftliche	short i takes ss
vornemlich	vornehmlich	3	residual	accept	vornehmlich	nem to nehm
Wiederhohlung	Wiederholung	3	residual	accept	Wiederholung	silent h dropped
vorausſetzt	voraussetzt	3	ss_audit	accept	voraussetzt	compound s plus s
Ueberlegung	Überlegung	3	residual	accept	Überlegung	Ue to Ü
ausgeſchloſſen	ausgeschlossen	3	ss_audit	accept	ausgeschlossen	short o takes ss
Zweckmäſsigkeit	Zweckmässigkeit	3	ss_audit	rewrite	Zweckmäßigkeit	-mäßig has long ä
beſſer	besser	3	ss_audit	accept	besser	short e takes ss
neuern	neueren	3	residual	reject	neuern	elided inflection stays
besondre	besondere	3	residual	reject	besondre	elided inflection stays
gesagte	Gesagte	3	residual	reject	gesagte	surface case kept
Zusammenhange	Zusammenhänge	3	residual	reject	Zusammenhange	dative singular, not plural
Todte	Tote	3	residual	accept	Tote	dt to t
gröſste	größte	3	residual	accept	größte	long ö takes ß
Flüſſigkeit	Flüssigkeit	3	ss_audit	accept	Flüssigkeit	short ü takes ss
abstrahirt	abstrahiert	3	residual	accept	abstrahiert	-irt to -iert
umfaſſen	umfassen	3	ss_audit	accept	umfassen	short a takes ss
rechtwinklichten	rechtwinkligen	3	residual	accept	rechtwinkligen	archaic -icht to -ig
zerriſſen	zerrissen	3	ss_audit	accept	zerrissen	short i takes ss
Gröſſe	Größe	3	residual	accept	Größe	long ö takes ß
abſtrahiren	abstrahieren	3	residual	accept	abstrahieren	-iren to -ieren
auflöſst	auflöst	3	residual	accept	auflöst	auflösen gives auflöst
unbegriffne	unbegriffene	3	residual	reject	unbegriffne	elided inflection stays
zerflieſst	zerfließt	3	residual	accept	zerfließt	long ie takes ß
groſsen	großen	3	residual	accept	großen	long o takes ß
Unwiſſenheit	Unwissenheit	3	ss_audit	accept	Unwissenheit	short i takes ss
Poëſie	Poesie	3	residual	accept	Poesie	diaeresis dropped
Todten	Toten	3	residual	accept	Toten	dt to t
Hülfe	Hilfe	3	residual	accept	Hilfe	ü to i
eh	ehe	3	residual	rewrite	ehe	apocope; modern ehe
Besorgniſs	Besorgnis	3	residual	accept	Besorgnis	-nis ending
sicht	Sicht	3	residual	rewrite	sieht	print error for sieht
mannichfaltiger	mannigfaltiger	3	residual	accept	mannigfaltiger	ch to g
reflectiren	reflektieren	3	residual	accept	reflektieren	c to k; -iren to -ieren
Brodes	Brotes	3	residual	accept	Brotes	d to t
afficiren	affizieren	3	residual	accept	affizieren	c to z; -iren to -ieren
unsre	unsere	3	residual	reject	unsre	elided form stays
Finsterniſs	Finsternis	3	residual	accept	Finsternis	-nis ending
reducirt	reduziert	3	residual	accept	reduziert	c to z; -irt to -iert
stöſst	stößt	3	residual	accept	stößt	stoßen has long o
fürsich	für-sich	3	residual	reject	fürsich	no hyphenation
entläſst	entlässt	3	ss_audit	accept	entlässt	short a takes ss
selbststandige	selbststantige	3	residual	rewrite	selbstständige	umlaut restored; CAB typo
abstrahiren	abstrahieren	3	residual	accept	abstrahieren	-iren to -ieren
äuſserliches	Äußerliches	3	residual	rewrite	äußerliches	surface lowercase kept
ansichseyenden	an-sich-seienden	3	residual	rewrite	ansichseienden	one word; ey to ei
