gw_page	file_position	paragraph	sentence	anchor_reviewed	anchor_modernized	anchor_en	note
73	005	4	1	In diesem Verhältnisse, das sich ergeben	In diesem Verhältnisse, das sich ergeben	In the relationship that has resulted,	
74	005	6	3	Indem der Gegenstand das Wahre und	Indem der Gegenstand das Wahre und	Because the object is what is	
75	005	7	11	Sie bleibt als diſs reine sich	Sie bleibt als dies reine sich	Being this pure self-relation and nothing	
76	005	9	5	Wir sind somit das allgemeine Medium,	Wir sind somit das allgemeine Medium,	We ourselves, then, are the universal	
77	005	12	1	Sehen wir zurück auf dasjenige, was	Sehen wir zurück auf dasjenige, was	If we look back on what	
78	005	13	1	Das Bewuſstseyn ist also auch aus	Das Bewusstsein ist also auch aus	Consciousness has thus stepped out of	interpolated
79	005	14	3	Jedes ist aber hiemit selbst als	Jedes ist aber hiermit selbst als	With this, however, each is determined	
80	005	20	5	Allein diese Auskunftsmittel, statt die Täuschung	Allein diese Auskunftsmittel, statt die Täuschung	But these makeshifts, far from keeping	
81	005	21	8	Wozu diesen Verstand eigentlich die Natur	Wozu diesen Verstand eigentlich die Natur	This understanding is really being driven	
82	005	21	10	Indem er ihnen die Wahrheit dadurch	Indem er ihnen die Wahrheit dadurch	In wanting to give them truth	
83	006	2	3	Wir haben hiemit noch vors erste	Wir haben hiermit noch vors erste	We therefore have for the time	
84	006	5	4	Damit ist zugleich auch ihre reine	Damit ist zugleich auch ihre reine	With this their pure porosity or	
85	006	5	18	Hier sind diese beyden Seiten Momente	Hier sind diese beiden Seiten Momente	In the present case these two	
86	006	7	5	Was es mit dieser Selbstständigkeit für	Was es mit dieser Selbstständigkeit für	What this self-subsistence amounts to is	
87	006	9	4	Für uns aber war, wie oben	Für uns aber war, wie oben	For us, though, as was recalled	
88	006	11	1	Insofern wir das erste allgemeine als	Insofern wir das erste allgemeine als	So long as we take the	
89	006	12	9	Diſs Innere ist ihm daher ein	Dies Innere ist ihm daher ein	To consciousness, then, this inner is	
90	006	15	5	Wenn es mit dem Innern und	Wenn es mit dem Innern und	If there were nothing more to	
91	006	17	7	Diese beyden Seiten, das Verhältniſs des	Diese beiden Seiten, das Verhältnis des	Both of these sides, the relation	
92	006	19	5	Was ihm zu mangeln scheint, ist	Was ihm zu mangeln scheint, ist	The lack apparent in it seems	
93	006	20	6	Diese Theile des Unterschieds am Gesetze,	Diese Teile des Unterschieds am Gesetze,	But those portions of the difference	
94	006	21	11	Damit aber, daſs die Nothwendigkeit, in	Damit aber, dass die Notwendigkeit, in	But in placing necessity in the	
95	006	23	4	Es ist also nur die eigne	Es ist also nur die eigne	What the understanding utters, then, is	
96	006	25	1	Dieser Wechsel ist so noch nicht	Dieser Wechsel ist so noch nicht	So understood, this alternation is not	
97	006	26	5	Denn die erste übersinnliche Welt war	Denn die erste übersinnliche Welt war	For that first supersensible world amounted	
98	006	28	3	Allein solche Gegensätze von Innerem und	Allein solche Gegensätze von Innerem und	But oppositions of this kind, between	
99	006	29	5	Ebendarum aber, indem ich hier das	Ebendarum aber, indem ich hier das	But precisely on that account, since	
100	006	31	3	Dieses sichselbstgleiche Wesen bezieht sich daher	Dieses sichselbstgleiche Wesen bezieht sich daher	This self-equal essence therefore relates solely	
101	006	32	3	Das Erklären des Verstandes macht zunächst	Das Erklären des Verstandes macht zunächst	The understanding's explaining at first does	
102	006	33	9	Der nothwendige Fortgang von den bisherigen	Der notwendige Fortgang von den bisherigen	The necessary advance beyond the shapes	
103	007	1	1	In den bisherigen Weisen der Gewiſsheit	In den bisherigen Weisen der Gewissheit	In the modes of certainty treated	
104	007	2	4	Das Seyn der Meynung, die Einzelnheit	Das Sein der Meinung, die Einzelnheit	Meaning's being, the singularity and the	
105	007	3	4	Denn das Ansich, oder das allgemeine	Denn das Ansich, oder das allgemeine	For the in-itself, the universal result,	
106	007	5	4	Aber es ist ebensosehr an ihr	Aber es ist ebensosehr an ihr	Yet it lies just as much	
107	007	6	12	Das flüssige Element ist selbst nur	Das flüssige Element ist selbst nur	This fluid element is nothing but	
108	007	10	4	Es ist in der That ein	Es ist in der Tat ein	In fact the essence of desire	
109	007	12	6	Das Bewuſstseyn hat erst in dem	Das Bewusstsein hat erst in dem	It is only in self-consciousness, taken	
110	008	5	1	Diese Bewegung des Selbstbewuſstseyns in der	Diese Bewegung des Selbstbewusstseins in der	This movement whereby self-consciousness relates itself	
111	008	9	2	Was anderes für es ist, ist	Was anderes für es ist, ist	Whatever is other for it stands	
112	008	10	9	Ebenso muſs jedes auf den Tod	Ebenso muss jedes auf den Tod	Equally, each must go for the	
113	008	13	2	Der Herr bezieht sich auf diese	Der Herr bezieht sich auf diese	Two moments are what the master	
114	008	15	1	Das unwesentliche Bewuſstseyn ist hierin für	Das unwesentliche Bewusstsein ist hierin für	Here the unessential consciousness is, for	
115	008	18	4	Die Begierde hat sich das reine	Die Begierde hat sich das reine	Desire had kept back for itself	
116	008	19	13	Indem nicht alle Erfüllungen seines natürlichen	Indem nicht alle Erfüllungen seines natürlichen	Since not every filling of its	
117	009	1	7	Das Vorgestellte, Gestaltete, Seyende, als solches,	Das Vorgestellte, Gestaltete, Seiende, als solches,	What is represented, shaped, existent, taken	
118	009	3	5	Der Eigensinn ist die Freyheit, die	Der Eigensinn ist die Freiheit, die	Stubbornness is a freedom that attaches	
119	009	5	2	Der Inhalt gilt ihm zwar nur	Der Inhalt gilt ihm zwar nur	Content is valid for it, to	
120	009	8	2	Als Skepticismus hingegen ist sie Moment	Als Skeptizismus hingegen ist sie Moment	As skepticism, by contrast, that movement	
121	009	9	8	Diſs Bewuſstseyn ist also diese bewuſstlose	Dies Bewusstsein ist also diese bewusstlose	So this consciousness is that unconscious	
122	009	11	1	Dieses unglückliche, in sich entzweyte Bewuſstseyn	Dieses unglückliche, in sich entzweite Bewusstsein	This unhappy, inwardly divided consciousness must	
123	009	13	4	Aber diese Erhebung ist selbst diſs	Aber diese Erhebung ist selbst dies	But that elevation is itself this	
124	009	16	2	Es ist hiemit für dieses, überhaupt	Es ist hiermit für dieses, überhaupt	For the singular consciousness, then, that	
125	009	19	2	Allein wie er an und für	Allein wie er an und für	Only what it is in and	
126	009	21	6	Es ist schon entflohen; denn es	Es ist schon entflohen; denn es	It has fled already; for it	
127	009	22	5	Indem es sie für sich selbst	Indem es sie für sich selbst	Since it does not possess that	
128	009	25	4	Die thätige Krafft erscheint als die	Die tätige Kraft erscheint als die	Active force makes its appearance as	
129	009	27	2	Im ersten Verhältnisse war es nur	Im ersten Verhältnisse war es nur	In the first relationship consciousness was	
130	009	31	2	Durch diese Mitte ist das Extrem	Durch diese Mitte ist das Extrem	It is through this middle that	
131	009	34	1	Aber in der wirklich vollbrachten Aufopferung	Aber in der wirklich vollbrachten Aufopferung	But in the sacrifice that has	
132	010	1	1	Das Bewuſstseyn geht in dem Gedanken,	Das Bewusstsein geht in dem Gedanken,	Consciousness goes back into itself within	
133	010	2	5	Hierin erst, nachdem das Grab seiner	Hierin erst, nachdem das Grab seiner	It is at this point and	
134	010	4	2	Er spricht eine unmittelbare Gewiſsheit aus,	Er spricht eine unmittelbare Gewissheit aus,	It pronounces an immediate certainty that	
135	010	5	9	Indem der Idealismus, die einfache Einheit	Indem der Idealismus, die einfache Einheit	When idealism pronounces self-consciousness's simple unity	
136	010	6	9	Die reine Kategorie verweist auf die	Die reine Kategorie verweist auf die	It is to the species that	
137	010	8	9	Sie befindet sich in unmittelbarem Widerspruche,	Sie befindet sich in unmittelbarem Widerspruche,	It stands in an immediate contradiction,	
138	011	2	2	Aber dieses oberflächliche Mein ist nicht	Aber dieses oberflächliche Mein ist nicht	But this superficial "mine" is not	
139	012	1	1	Wenn das gedankenlose Bewuſstseyn das Beobten	Wenn das gedankenlose Bewusstsein das Beobten	Should thoughtless consciousness pronounce observation and	
140	012	2	7	Aber die Gräntzen dessen, was wie	Aber die Grenzen dessen, was wie	But the boundaries of what, like	
141	012	3	8	Die Pflanze dagegen kommt nicht zum	Die Pflanze dagegen kommt nicht zum	The plant, by contrast, does not	
142	012	5	2	Was wesentliche Merkmahle genannt werden, sind	Was wesentliche Merkmale genannt werden, sind	The so-called essential marks are resting	
143	012	7	2	Allein es widerlegt diese seine Meynung	Allein es widerlegt diese seine Meinung	Yet it refutes this supposition of	
144	012	8	7	Die negative Electricität, zum Beyspiel, welche	Die negative Elektrizität, zum Beispiel, welche	Take negative electricity, which announces itself	
145	012	10	3	Diſs was in Wahrheit das Resultat	Dies was in Wahrheit das Resultat	What in truth is the result	
146	012	12	7	Auſserdem daſs die organische Freyheit diesen	Außerdem dass die organische Freiheit diesen	Besides the fact that organic freedom	
147	012	14	1	Diese Bestimmung ist, wie sie an	Diese Bestimmung ist, wie sie an	We must look more closely at	
148	012	16	2	Es nemlich erhält sich; d. h.	Es nämlich erhält sich; d. h.	For it maintains itself; that is,	
149	012	17	7	Das Seyn aber, dessen Wirksamkeit die	Das Sein aber, dessen Wirksamkeit die	The being whose efficacy is under	
150	012	20	4	— Dieselben Bestimmungen des Verhältnisses, nemlich	— Dieselben Bestimmungen des Verhältnisses, nämlich	— These same determinations of the	
151	012	23	4	In der Bedeutung der Selbsterhaltung überhaupt	In der Bedeutung der Selbsterhaltung überhaupt	Understood in the sense of self-preservation	
152	012	27	4	Sie ist aber, als eine allgemeine	Sie ist aber, als eine allgemeine	As a universal fluidity, however, it	
153	012	28	5	Wie das Loch und das, was	Wie das Loch und das, was	Just as the hole and what	
154	012	30	1	Wird endlich statt der Sensibilität und	Wird endlich statt der Sensibilität und	If finally reproduction, rather than sensibility	
155	012	33	2	— Weil nun jene einfachen Momente	— Weil nun jene einfachen Momente	— Since those simple moments are	
156	012	35	1	Auf diese Weise geht an dem	Auf diese Weise geht an dem	In this way the representation of	
157	012	37	1	Um solche zu erhalten muſs der	Um solche zu erhalten muss der	To get such sides the understanding	
158	012	39	2	Daſs das Thier starke Muskeln habe,	Dass das Tier starke Muskeln habe,	That the animal has strong muscles	
159	012	40	1	Es ist itzt auch noch dasjenige	Es ist itzt auch noch dasjenige	It still remains to consider on	
160	012	42	9	— Sie ist die Mitte der	— Sie ist die Mitte der	— It is the middle of	
161	012	46	1	Weil nun die Negativität hier nicht	Weil nun die Negativität hier nicht	Since negativity is apprehended here not	
162	012	47	1	Diese andre Seite des Unorganischen dagegen	Diese andre Seite des Unorganischen dagegen	Take this other side of the	
163	012	47	8	So daſs der Versuch Körper-Reihen zu	So dass der Versuch Körper-Reihen zu	So that any effort to hunt	
164	012	49	1	Wenn nun aber schon die reine	Wenn nun aber schon die reine	Granted, now, that the principle of	
165	012	50	2	— Und da dieser Schluſs überhaupt	— Und da dieser Schluss überhaupt	— And since this syllogism belongs	
166	012	52	4	Aber die organische Natur hat keine	Aber die organische Natur hat keine	Organic nature, though, has no history	
167	013	1	1	Die Naturbeobachtung findet den Begriff in	Die Naturbeobachtung findet den Begriff in	In inorganic nature the observation of	
168	013	3	2	Er wird ruhiges Seyn von Beziehungen,	Er wird ruhiges Sein von Beziehungen,	It turns into a placid being	
169	013	5	2	Die Psychologie enthält die Menge von	Die Psychologie enthält die Menge von	In psychology there is that mass	
170	013	8	2	Sie enthalten Bestimmtes ebensowohl als Allgemeines,	Sie enthalten Bestimmtes ebensowohl als Allgemeines,	They contain what is determinate no	
171	013	10	2	— Da um dieser Freyheit willen	— Da um dieser Freiheit willen	— Because actuality, for the sake	
172	014	2	2	An ihm selbst tritt also der	An ihm selbst tritt also der	At the individual itself, then, the	
173	014	4	1	Diſs Aeuſsere macht zuerst nicht als	Dies Äußere macht zuerst nicht als	In the first place, this outer	
174	014	5	1	Wenn nun die äuſsere Gestalt nur,	Wenn nun die äußere Gestalt nur,	Suppose now that the outer shape	
175	014	8	2	Wenn nemlich die Organe überhaupt darum	Wenn nämlich die Organe überhaupt darum	For if the organs in general	
176	014	10	1	An diesem Innern, welches in seiner	An diesem Innern, welches in seiner	In this inner, then, which remains	
177	014	11	4	Der Gegensatz, auf welchen diſs Beobachten	Der Gegensatz, auf welchen dies Beobachten	The opposition into which this observing	
178	014	12	9	Die Wissenschafft der Menschenkenntniſs, welche auf	Die Wissenschaft der Menschenkenntnis, welche auf	The science of acquaintance with human	
179	014	14	10	Er ist zwar darin nicht als	Er ist zwar darin nicht als	He is indeed not thereby posited	
180	014	15	6	In der noch zu betrachtenden Bestimmung	In der noch zu betrachtenden Bestimmung	In the determination still to be	
181	014	19	2	Die Nerven selbst sind zwar wieder	Die Nerven selbst sind zwar wieder	The nerves themselves are, to be	
182	014	20	7	— Es ist sich deſswegen auch	— Es ist sich deswegen auch	— For this reason one should	
183	014	21	7	— Indem aber auf die Seite	— Indem aber auf die Seite	— But since the determination of	
184	014	23	4	Die andre Seite der selbstbewuſsten Individividualität	Die andre Seite der selbstbewussten Individividualität	The other side of self-conscious individuality,	
185	014	26	2	Wie zum Beyspiel manche bey dem	Wie zum Beispiel manche bei dem	For instance, just as many people	
186	014	27	9	Die Beobachtungen, welche hierüber angestellt werden,	Die Beobachtungen, welche hierüber angestellt werden,	The observations that are set up	
187	014	29	1	Schreitet, ungeachtet der Gleichgültigkeit der beyden	Schreitet, ungeachtet der Gleichgültigkeit der beiden	Yet suppose the observer, heedless of	
188	014	31	3	Das Seyende ohne die geistige Thätigkeit	Das Seiende ohne die geistige Tätigkeit	What has being apart from spiritual	
189	014	32	6	— Wie von dem jüdischen Volke	— Wie von dem jüdischen Volke	— It is as with the	
190	014	34	3	Er an sich selbst nur ist	Er an sich selbst nur ist	Only in its own self is	
191	014	36	4	Indem der Gegenstand für das Bewuſstseyn	Indem der Gegenstand für das Bewusstsein	Since the object is for consciousness	
192	014	38	1	Gehirnfieber und dergleichen als das Seyn	Gehirnfieber und dergleichen als das Sein	Brain fever and the like, regarded	
193	015	1	1	Das Selbstbewuſstseyn fand das Ding als	Das Selbstbewusstsein fand das Ding als	Self-consciousness came upon the thing as	
194	015	3	1	Nehmen wir dieses Ziel, das der	Nehmen wir dieses Ziel, das der	Suppose we take up in its	
195	015	5	6	— Wie der Einzelne in seiner	— Wie der Einzelne in seiner	— Just as the single individual,	
196	015	8	1	Die Vernunft muſs aus diesem Glücke	Die Vernunft muss aus diesem Glücke	Reason must step out of this	
197	015	11	1	Wenn also die Wahrheit dieses vernünftigen	Wenn also die Wahrheit dieses vernünftigen	Since for us, then, the ethical	
198	015	13	2	Sein erster Zweck ist aber sein	Sein erster Zweck ist aber sein	Its first purpose, however, is the	
199	016	3	1	Es stürzt also ins Leben, und	Es stürzt also ins Leben, und	It therefore hurls itself into life	
200	016	5	2	Dieses Wesen ist nichts anders als	Dieses Wesen ist nichts anders als	This essence amounts to nothing other	
201	016	6	2	Diſs erscheint hiemit so, daſs das	Dies erscheint hiermit so, dass das	Thus the matter appears as though	
202	017	1	1	Was die Nothwendigkeit in Wahrheit am	Was die Notwendigkeit in Wahrheit am	Necessity, as it is in truth	
203	017	4	2	Sie ist hiemit nicht mehr der	Sie ist hiermit nicht mehr der	It is therefore no longer the	
204	017	6	6	— Durch seine That setzt es	— Durch seine Tat setzt es	— Through its deed the individual	
205	017	8	2	Dasjenige, worin es sich nicht erkennt,	Dasjenige, worin es sich nicht erkennt,	What it fails to cognize itself	
206	017	10	5	In dem Resultate des Erfahrens, das	In dem Resultate des Erfahrens, das	In the result of the experience	
207	017	12	2	Die bestehenden Gesetze werden gegen das	Die bestehenden Gesetze werden gegen das	When the subsisting laws are upheld	
208	018	1	1	In der ersten Gestalt der thätigen	In der ersten Gestalt der tätigen	Within the first shape that active	
209	018	2	4	Aber diese Befriedigung selbst so wie	Aber diese Befriedigung selbst so wie	But this satisfaction itself, and likewise	
210	018	4	3	Diese Bestimmtheit kann auch so betrachtet	Diese Bestimmtheit kann auch so betrachtet	This determinateness admits of being viewed	
211	018	6	7	Die beyden oben angegebenen Seiten, nach	Die beiden oben angegebenen Seiten, nach	The two sides specified above, on	
212	018	8	3	Das gute Ansich aber, ist es	Das gute Ansich aber, ist es	As for the good in-itself: if	
213	018	10	4	Die betrachtete aber ist aus der	Die betrachtete aber ist aus der	The virtue under consideration here, by	
214	018	13	1	Es ist also das Thun und	Es ist also das Tun und	And so the doing and driving	
215	019	1	5	Indem aber Zweck und Ansichseyn als	Indem aber Zweck und Ansichsein als	But now that purpose and being-in-itself	
216	020	1	1	Diese an sich reale Individualität ist	Diese an sich reale Individualität ist	This individuality real in itself is	
217	020	3	2	Für das Thun aber ist einestheils	Für das Tun aber ist einesteils	For doing, on one side, that	
218	020	5	6	Diſs Bewuſstseyn, indem es sich zum	Dies Bewusstsein, indem es sich zum	This consciousness, in resolving upon action,	
219	020	5	21	Dieser noch übrige Schein von Entgegensetzung	Dieser noch übrige Schein von Entgegensetzung	What still lingers of this semblance	
220	020	6	7	Die ursprüngliche Natur ist allein das	Die ursprüngliche Natur ist allein das	The original nature alone is the	
221	020	8	7	Es hat die ganze Natur der	Es hat die ganze Natur der	Along with everything else it has	
222	020	10	1	In diesem Grundwiderspruche des Werks, das	In diesem Grundwiderspruche des Werks, das	Within this basic contradiction of the	
223	020	12	2	Dem Bewuſstseyn ist also um der	Dem Bewusstsein ist also um der	For consciousness, then, on the strength	
224	020	14	3	Die Sache selbst hat in diesem	Die Sache selbst hat in diesem	Within this immediate consciousness of it,	
225	020	16	4	— Es ist endlich [et-]was ihm	— Es ist endlich [et-]was ihm	— Finally, if something interesting to	
226	020	19	4	Die Sache selbst ist als das	Die Sache selbst ist als das	The matter at hand is there	
227	020	20	6	Allein sie irren sich wieder; es	Allein sie irren sich wieder; es	But they are mistaken again; consciousness	
228	020	21	5	Das Bewuſstseyn erfährt, daſs keins jener	Das Bewusstsein erfährt, dass keins jener	Consciousness experiences that none of those	
229	021	2	2	Sein Gegenstand gilt ihm ebenso als	Sein Gegenstand gilt ihm ebenso als	For that consciousness its object is	
230	021	6	2	— Bey dieser als unbedingt ausgesprochnen	— Bei dieser als unbedingt ausgesprochnen	— With a duty pronounced in	
231	021	7	3	Die thätige Liebe, — denn eine	Die tätige Liebe, — denn eine	Love that is active, — since	
232	021	9	1	Was dem Gesetzgeben übrig bleibt, ist	Was dem Gesetzgeben übrig bleibt, ist	What law-giving is left with, then,	
233	022	1	9	Es werden Gesetze nicht mehr gegeben,	Es werden Gesetze nicht mehr gegeben,	Laws are no longer handed down	
234	022	3	4	Es gilt zugleich für das Meinige,	Es gilt zugleich für das Meinige,	It counts at the same time	
235	022	6	3	Jenes unmittelbare Gesetzgeben ist also der	Jenes unmittelbare Gesetzgeben ist also der	So that immediate law-giving is the	
236	022	9	2	Dadurch sind die Unterschiede an dem	Dadurch sind die Unterschiede an dem	In consequence the differences within the	
237	022	9	16	Sondern ob diese oder die entgegengesetzte	Sondern ob diese oder die entgegengesetzte	Whether this determination or its opposite	
238	023	1	1	Die Vernunft ist Geist, indem die	Die Vernunft ist Geist, indem die	Reason is spirit inasmuch as the	
239	023	2	3	Die Substanz und das allgemeine, sichselbstgleiche,	Die Substanz und das allgemeine, sichselbstgleiche,	The substance and the universal, self-equal,	
240	023	4	1	Der Geist ist das sittliche Leben	Der Geist ist das sittliche Leben	Spirit is the ethical life of	
241	024	1	3	Die Substanz tritt als allgemeines Wesen	Die Substanz tritt als allgemeines Wesen	The substance steps forth as universal	
242	025	1	4	Jede dieser Massen der Substanz bleibt	Jede dieser Massen der Substanz bleibt	Yet each of these masses of	
243	025	5	4	Dieses in diesem Elemente der Unmittelbarkeit	Dieses in diesem Elemente der Unmittelbarkeit	This moment, giving expression to ethical	
244	025	6	12	Die Handlung also, welche die ganze	Die Handlung also, welche die ganze	The action, then, that embraces the	
245	025	7	8	— Die Blutsverwandschafft ergänzt also die	— Die Blutsverwandtschaft ergänzt also die	— Blood-relationship, then, supplements the abstract	
246	025	10	1	Das Gemeinwesen, das obere und offenbar	Das Gemeinwesen, das obere und offenbar	The communal being, the upper law	
247	025	11	5	— Die Pietät des Mannes und	— Die Pietät des Mannes und	— The piety that man and	
248	025	12	11	Indem also in diſs Verhältniſs der	Indem also in dies Verhältnis der	Because singularity is thus mingled into	
249	025	15	3	Keins von beyden ist allein an	Keins von beiden ist allein an	Neither of the two exists alone	
250	025	17	4	— Die Gerechtigkeit aber, welche das	— Die Gerechtigkeit aber, welche das	— But the justice that brings	
251	025	18	6	Die Vereinigung des Mannes und des	Die Vereinigung des Mannes und des	What man and woman make up	
252	026	2	4	Es gibt daher nicht das schlechte	Es gibt daher nicht das schlechte	It therefore offers neither the sorry	
