volume	page	verdict	certainty	prev_tail	next_head
21	48	join	sure	sollte aber nicht mehr Bewußtseyn genannt	werden; Bewußtseyn schließt den Gegensatz des
21	49	join	sure	sowohl *Seyn* als *Wesen* in sich,	für welchen Unterschied unsere Sprache glücklicherweise
21	54	join	sure	das Benehmen des *Erkennens* zu ach-	ten getrieben ist, so wird auch
21	55	join	sure	zu ihrer Voraussetzung, welche die Nothwendigkeit	und damit den Beweis der Wahrheit
21	56	join	sure	das *reine* Wissen nichts heißen soll,	als das Wissen als solches, ganz
21	57	join	sure	die Philosophie nur mit einem *hypothe-*	*tischen* und *problematischen* Wahren anfangen, und
21	58	join	sure	zurückgeht, als *Resultat* zu betrachten. Nach	dieser Rücksicht ist das Erste eben
21	59	join	sure	selbst mit der Vergleichung dieser Linien	oder Winkel anzufangen; für sich an
21	60	join	sure	Anfang angenommene Bestimmung *des* *Seyns* könnte	weggelassen werden, so daß nur gefordert
21	61	join	sure	thun wäre. In diesem Sinne wür-	den, wie jener abstracte Begriff die
21	62	join	sure	eine Bewegung, die das Gegentheil des	analytischen Verfahrens ist, eines der Sache
21	63	join	sure	damit sogleich zufälliger Inhalt; Ich hinge-	gen ist die einfache Gewißheit seiner
21	64	join	sure	werden sollen, und erhält die Vorstellung	gegenwärtig, als ob die Sätze und
21	65	join	sure	dieses Wissens eintritt. Die intellectuelle Anschauung	ist wohl die gewaltsame Zurückweisung des
21	67	join	sure	mit dem Seyn *als* *solchem* macht,	daher mit dem qualitativen Seyn. Aus
21	69	join	sure	auch nicht ungleich gegen anderes, hat	keine Verschiedenheit innerhalb seiner, noch nach
21	70	join	sure	einen in dem andern; *das* *Wer-*	*den*; eine Bewegung, worin beyde unterschieden
21	71	join	sure	denen in der Metaphysik große Bedeu-	tung zugeschrieben wurde. Es ist darin
21	72	join	sure	sondern in einer weitern Bestimmung, und	werden z. B. als *Positives* und
21	73	join	sure	der ganzen Welt, steht. In Rücksicht	des wechselbestimmenden Zusammenhangs des Ganzen konnte
21	74	join	sure	haben keine andere Inhaltsbestimmung als diese.	Für diesen als isolirt betrachteten Inhalt
21	75	join	sure	Unterschied bloß aufs Seyn und Nichtseyn	hinausschieben, ob ich die hundert Thaler
21	76	join	sure	ein bestimmtes Seyn, das Daseyn, vor-	schwebt, ist zu dem erwähnten Anfange
21	77	join	sure	seine Existenz »herausklauben«; aus diesem Herausklauben	aber der Existenz Gottes aus seinem
21	78	join	sure	dieses *an* *sich* selbst. Der Umstand	aber, auf den hier aufmerksam zu
21	79	join	sure	eine Einheit so vorhanden, daß da-	bey die vollkommene *Gleichgültigkeit* der Gegenstände
21	80	join	sure	Seyn und Nichts anzugeben, schließt auch	die in sich, zu sagen, was
21	81	join	sure	*zwischen* ihnen geschehend vorgestellt wird. Wo	und Wie nun vom Seyn oder
21	82	join	sure	könne, daß *von* *aussen* etwas Frem-	des daran geknüpft würde. Der Fortgang,
21	83	join	sure	vermannichfaltiget; – jedes ist nur *Eines*	und *kein* *Anderes*; – eine Einerleyheit,
21	84	join	sure	ich alle Bewegung, und mir gera-	de diß *Vergessen*, weil es das
21	85	join	sure	Wiederhohlen der Wiederhohlung ist die alleinige	Geschäftigkeit, Function und Production der allerreinsten
21	86	join	sure	als *Unbestimmte* bestimmt, was – um	zu seiner einfachsten Form zurückzugehen, das
21	87	join	sure	unmittelbare Seyn und selbst noch viel-	mehr. Das Kürzeste ist solches Räsonniren
21	88	new	sure	hat, und eine äussere Reflexion ist.	Wie hier das Eine mit dem
21	89	join	sure	daß das Daseyn des Nichts durchaus	nichts ihm selbst zukommendes sey, daß
21	90	join	sure	auch wegen ihrer Einfachheit selbst erscheint	die Einsicht, daß die Negation der
21	91	join	sure	werden. – Jene einfache gewöhnliche Dialektik	beruht auf dem Festhalten des Gegensatzes
21	92	join	sure	Größen; – nicht *nach* ihrem Ver-	schwinden, denn alsdann sind sie nichts.
21	93	new	sure	herab, *noch* *unterschiedenen*, aber zugleich aufgehobenen.	Nach dieser ihrer Unterschiedenheit sie aufgefaßt,
21	94	join	sure	auf dem Unterschiede derselben. Es widerspricht	sich also in sich selbst, weil
21	95	join	sure	mehrere dergleichen. Der Doppelsinn des lateini-	schen: tollere (der durch den ciceronianischen
21	98	join	sure	unberechtigte Behauptungen, Gründe und Grundlagen für	das Weitere auszusehen. Man soll sie
21	99	join	uncertain	sich weiterhin als Gräntze, Schranke bestimmt.	Beyde sind ein Daseyn, aber in
21	100	join	sure	damit wird aber alle Bestimmtheit derselben	aufgehoben. Die Realität ist Qualität, Daseyn;
21	101	new	sure	Seyn, dasselbe was das Nichts ist.	Die Bestimmtheit ist die Negation als
21	102	join	sure	Bestimmungen, wird sie dem *Positiven* entgegenge-	setzt, welches die auf die Negation
21	103	join	sure	dem Daseyn angehörig. So ist die	Qualität überhaupt nicht vom Daseyn getrennt,
21	104	join	sure	die ganz abstracte Vermittlung; die Vermittlung	mit *sich* ist im Etwas *gesetzt*,
21	105	join	sure	die negative Bestimmung, die im Da-	seyn liegt, welche dort nur erst
21	106	new	sure	also nicht selbst ein Anderes wäre.	Beyde sind sowohl als *Etwas* als
21	107	new	sure	Verneinung zugleich auch erhält, nur *Seyn-für-Anderes*.	Es erhält sich in seinem Nichtdaseyn,
21	108	new	sure	selbst *ist* *das* *Nicht-seyn* des Seyns-für-Anderes.	Das *Seyn-für-Anderes* aber ist erstlich Negation
21	109	join	sure	nicht wissen, was die Dinge an	sich sind, eine vielgeltende Weisheit war.
21	110	join	sure	Unendliche; ihr Sinn erscheint als vollen-	det auch ohne ihr Anderes. Das
21	111	join	sure	in seiner Gleichheit mit sich erhält,	sie in seinem Seyn-für-Anderes geltend macht.
21	112	join	sure	Veränderung in die Beschaffenheit; sie ist	*am* Etwas das, was ein Anderes
21	113	new	sure	immanent gesetzt, als sein entwickeltes Insichseyn.	Zunächst ist das Uebergehen der Bestimmung
21	114	join	sure	beziehendes Daseyn und hat eine Grenze	zunächst als gegen Anderes; sie ist
21	115	join	sure	seinem Andern unterschieden; es ist nur	Daseyn, hat also mit seinem Andern
21	116	join	sure	*an* *sich* *bewegt* und sie ent-	stehen macht, u.s.f. – liegt in
21	118	join	sure	bleibt es absolut auf seiner ei-	genen Seite; Affirmation erhielte es vom
21	119	join	sure	ferner das Andersseyn als *Grenze*, selbst	als Negation der Negation, bestimmt ist,
21	120	join	sure	ihm selbst schon immanente Grenze ist	es beschränkt, aber diese seine Beschränkung
21	121	new	sure	*der* *Bestimmtheit* oder der Grenze gespielt.	*Du* *kannst*, *weil* *du* *sollst*, –
21	122	join	sure	der er an sich ist, enthält	die Identität mit seinem Andern. Ist
21	123	new	sure	für die Pflanze aber nicht ist.	Das *Sollen* andererseits ist das Hinausgehen
21	124	join	sure	ist; dieses aber ist dieselbe Entzweyung	des *Ansichseyns* und des *Daseyns* wie
21	127	new	sure	Daseyn, das ein bestimmtes ist, hat.	So das Unendliche gegen das Endliche
21	128	join	sure	unmittelbar von sich ab, und quali-	tativ davon getrennt, setzt es sie
21	129	join	sure	als ein dem Unendlichen äusserliches Geschehen,	und die neue Grenze als ein
21	130	new	sure	langweilige *Abwechslung* dieses Endlichen und Unendlichen.	Die Unendlichkeit des unendlichen Progresses bleibt
21	131	join	sure	enthält; es bedarf nur der Verglei-	chung dieser verschiedenen Momente, in welcher
21	132	join	sure	soll, geben ein und dasselbe Resul-	tat; das Unendliche und Endliche nach
21	133	join	sure	gleichfalls als das nicht negirte, obgleich	an sich Nichtige, festgehalten, so daß
21	134	join	sure	Negation der Negation ist. Diese Bestim-	mungen sind es, die wesentlich ins
21	135	join	sure	weiter hinausgeschoben, weder von dem Endli-	chen entfernt worden, denn dieses ist
21	136	join	sure	der Endlichen zu seyn, und diesen	Unterschied seiner von sich selbst zur
21	137	new	sure	Daseyn, Realität, Endlichkeit, die geläufigsten sind.	Hier hat die Zurückrufung der Kategorie
21	138	join	sure	das Sollen, sind der Ausdruck eines	*Widerspruchs*, der sich selbst für die
21	139	join	sure	leichte Foderung, welche um die Natur	des Unendlichen einzusehen, gemacht wird, das
21	140	join	sure	betrachten wir diese Frage nur in	ihrer Unmittelbarkeit, und in Rücksicht des
21	141	join	sure	diese, daß es nicht ein Un-	endliches *gibt*, das *vorerst* unendlich ist,
21	142	new	sure	Anderes *an* *ihm* *selbst* zu haben.	Jene Frage, wie das Unendliche zum
21	143	join	sure	so ist dabey auf dieselbe Doppel-	seite vorläuffig aufmerksam zu machen, die
21	147	join	sure	so ist es das Fürsichseyende, als	Aufgehobenseyn des Andersseyns, selbst, welches sich
21	148	join	sure	Geist ist nur für den Geist,	Gott nur für Gott, und nur
21	149	new	sure	reinen speculativen, allein wahrhaft begründenden, Denkens.	Der *Leibnitz*ische Idealismus liegt mehr innerhalb
21	150	join	sure	*sich* *selbst* *sich* *äusserlich* ist. Es	wird von der Einheit der absoluten
21	151	join	sure	*Momente* des Fürsichseyns sind in *Unterschieds-*	*losigkeit* zusammengesunken, welche Unmittelbarkeit oder Seyn
21	152	join	sure	absolute Vereinigung der Beziehung auf Anderes	und der Beziehung auf sich; aber
21	154	join	sure	daß das atomistische Princip sich jederzeit	erhalten hat; das gleich triviale und
21	155	join	sure	Aeusserlichkeit und damit der höchsten Begriff-	losigkeit, leidet die Physik in den
21	156	join	sure	des Eins vorhanden; und zweytens insofern	sie negativ und das Eins seyendes
21	157	join	sure	*für* *einander* seyn sollen. Die Grenze	ist das, worin die Begrenzten eben
21	158	join	sure	*selbst* die beyden Momente des Fürsichseyns	und des Für-es-seyns enthält, also als
21	159	join	sure	in einem Dritten als Vieles unterschieden	wären, sondern ihr eigenes sie erhaltendes
21	160	new	sure	Setzen nach nur *Eine* affirmative Einheit.	Diese Betrachtung der Eins, daß sie
21	161	join	sure	dieses Thuns. Die Versöhnung ist die	Anerkennung dessen, gegen welches das negative
21	162	join	sure	die Repulsion, daß sie diese zur	*Voraussetzung* hat. Die Repulsion liefert die
21	163	join	sure	ausser der andern steht, so daß	sie jedoch wesentlich zusammenhängen. Die noch
21	164	join	sure	der Attraction Repulsion ist. Daß aber	darin die Vermittlung durch *Anderes* mit
21	165	join	sure	ihrer an ihr selbst, und da-	mit auch die Continuität ihrer in
21	166	join	sure	*sich* darin, in der Einheit des	*Seyns* und *Nichts*, vorhanden ist, fällt
21	167	join	sure	die Materie die Kräfte *in* *sich*	*habe*, so ist unter dieser ihrer
21	168	join	sure	*weil* *wir* *uns* *die* *Materie* *un-*	*durchdringlich* *vorstellen*, indem diese nemlich dem
21	169	join	sure	die *Attraction* der Theile desselben ge-	geneinander. Aus dieser Wahrnehmung kann die
21	170	new	uncertain	und für sich selbstständige *gegen* *einander.*	So nichtig der selbstständige Unterschied dieser
21	171	join	sure	nur Ein Atom activ sich verhiel-	te. – Unmittelbar oder in Rücksicht
21	172	join	sure	die Materie einen Raum *erfüllen*, somit	durch sie der leere Raum, den
21	174	join	sure	sich hinausgehende, sich selbst negirende; es	verfällt als diß Andersseyn des Andersseyn
21	175	new	sure	der fremden Sprache gebraucht werden muß.	Die Definition, welche in der Mathematik
21	177	join	uncertain	Eins in ihre von ihnen Unterschiedene.	Unmittelbar hat daher die Größe in
21	178	join	sure	die Attraction, in seine Idealität übergeht,	und daß daher die Continuität ihm
21	179	new	sure	Gleichheit und Identität mit sich ist.	Was die *Materie* als Quantität betrift,
21	180	join	sure	die den Sturz der vorhergehenden Metaphysik	bewirkten, und als ein Hauptübergang in
21	181	join	sure	wichtige Ansicht ist. – »Von dem	natürlichen Scheine der Antinomien werde die
21	182	join	sure	des Zusammengesetzten ist das Einfache. Es	ist daher tavtologisch, zu sagen, daß
21	183	join	sure	d. i. das Einfache, übrig bleiben.«	»Im erstern Fall aber würde das
21	184	join	sure	bestünden nicht aus einfachen Theilen, sondern	seyen nur zusammengesetzt. Nun aber kann
21	185	join	sure	Theil des Zusammengesetzten einen Raum einnehmen.«	»Die schlechthin ersten Theile aber alles
21	186	join	sure	die Anschauung selbst, zugleich *begriffen* werden	muß, wenn man nemlich überhaupt begreifen
21	187	new	uncertain	nicht auf etwas einfaches stoßen wollen.	Wenn wir hiemit den Gegensatz dieser
21	188	join	sure	sind darum auch einer gründlichern Be-	trachtung würdig, als der gewöhnlichen Erklärung,
21	189	join	sure	Etwas, für ein Wahres und Wirk-	liches zu halten; dieses sinnliche Bewußtseyn
21	190	join	sure	die Unmittelbarkeit ist eine Bestimmtheit, deren	Aufgehobenseyn sie selbst ist. Sie ist
21	191	join	uncertain	Bestimmungen, von denen sie constituirt sind.	Umgekehrt ist an [der] discreten Größe
21	192	join	sure	der es über die Grenze und	diß Eins hinausgeht, und gleichgültig dagegen
21	194	join	uncertain	zu dem sie überhaupt geworden, bleibt.	Diß Eins ist also das Princip
21	195	join	sure	das affirmative diesseits seiner Grenze be-	stehen blieb, und diese, die Negation,
21	197	new	sure	– muß als Zahl genommen werden.	Die *Arithmetik* betrachtet die Zahl und
21	198	join	sure	*Numeriren*. Da die Eins äusserliche gegeneinan-	der sind, stellen sie sich unter
21	199	join	sure	muß über diese *Begriffe* hinausgehen und	die Anschauung, fünf Finger u.s.f. zu
21	200	join	sure	d. i. in dem Aussersichkommen (der	sogenannten Bewegung des Punktes) schlechthin sich
21	201	join	sure	Addiren selbst zurück. Die ihm ent-	sprechende, negative Rechnungsart, das *Subtrahiren*, ist
21	202	join	sure	– nur *eine* Wiederhohlung des Quadri-	rens, theils bey den ungeraden Potenzen
21	203	join	sure	des Begriffs gehört, d. h. als	Existenz vorhanden ist, ist ein wesentliches
21	204	join	sure	des Verknüpften gegen die Verknüpfung, der	die Nothwendigkeit fehlt, willen, befindet sich
21	205	join	sure	angeführt; daß die Pythagoräer auf die	Zahlen gefallen seyen, schreibt er dem
21	206	join	sure	*begriffene*, in dieses Element des Ausser-	sichseyns selbst versetzt, werden zu todten,
21	207	join	sure	die phantasielosen geometrischen Figuren ohnehin dürftig	sind, wie auch in diesen eine
21	208	join	sure	Nahrung die Erziehung den jugendlichen Geist	großziehen soll, sollte von dem inhaltslosen
21	209	join	sure	extensive Größe hat das Moment der	Continuität an ihr selbst und in
21	210	join	sure	andere ist; es als vieles aussereinanderseyendes	oder discretes macht daher die Bestimmtheit
21	211	join	sure	es gesetzt, wie es seinem Begriffe	nach oder an sich ist. Die
21	212	join	sure	Fortgang, einem Fliessen, das eine un-	unterbrochene, untheilbare Veränderung ist; jedes der
21	213	join	sure	hat ihre Bestimmtheit in diesem Ausschlie-	ßen. Aber *zweytens* ist sie an
21	215	join	uncertain	extensives wie als intensives Quantum darstellt.	Als Beyspiel hievon dient daher alles,
21	216	join	sure	Ein höherer Grad der Temperatur drückt	sich aus als eine längere Quecksilbersäule,
21	217	join	sure	aufgehoben sind. Es war nicht nur	die Entfernung der Kategorie des extensiven
21	218	join	sure	in die Grenze übergegangen ist, also	die Repulsion der Bestimmtheit von sich
21	219	join	sure	Für-sich-bestimmtseyn ist vielmehr das *Bestimmtseyn* *in*	*einem* *Andern*; und umgekehrt ist es
21	221	join	sure	diesem Jenseits; das Quantum besteht eben	darin, das Andre seiner selbst, sich
21	222	join	sure	das Jenseits des Endlichen beharrlich bestimmt	ist, ist als die *schlechte* *quantitative*
21	223	join	uncertain	auf, (Kr. d. pract. V. Schl.)	»wenn das Subject mit dem Gedanken
21	224	join	sure	*und* *du* *liegst* *ganz* *vor* *mir*.«	Wenn auf jenes Aufbürgen und Aufthürmen
21	225	join	sure	gegenüber. Es stellt sich derselbe Wider-	spruch dar, der dem unendlichen Progresse
21	226	join	sure	Der reine Wille hat sein eigen-	thümliches Gesetz, das in wesentlicher Beziehung
21	227	join	sure	den Willen des Guten bestimmt, die	durch denselben an ihr hervorgebrachte Veränderung
21	228	join	sure	der andern. Insofern verschiedene Stoffe oder	Thätigkeiten vorausgesetzt werden, bestätigt und vollendet
21	229	join	sure	*oder* *Unbegrenztheit* *der* *Welt* *in* *Zeit*	*und* *Raum*. – Es konnte eben
21	230	new	sure	einen Anfang in der Zeit habe.	Nur der Unterschied findet Statt, daß
21	231	join	sure	abstracten Punkt, geradezu annimmt, – eine	populäre Bestimmung, welche das sinnliche Vorstellen
21	232	join	sure	ebenso im Beweise direct vorausgesetzt. Es	wird direct angenommen, daß die begrenzte
21	234	join	sure	Aeußerlichkeit macht das aus, wodurch es	Quantum, bei sich selbst, ist. Es
21	235	join	sure	nemlich das nach *seinem* *Begriff* *bestimm-*	*te* *Quantum* entstanden, was verschieden ist,
21	236	join	sure	der negirten Qualität, die Wiederherstellung derselben;	und gesetzt ist diß, daß die
21	237	join	sure	sich, daß die Mathematik, indem sie	die Natur dieses ihres Instruments nicht
21	238	new	uncertain	des gewöhnlichen Calculs gewonnen zu haben.	Die Mathematik zeigt bey diesem Widerstreite
21	239	join	sure	ich in dieser Anmerkung weitläufiger anstellen	will, wird zugleich das beste Licht
21	240	join	sure	Begriff nicht der Begriff eines *Maxi*-	*mums* (oder Minimums), sondern es werde
21	241	new	sure	Bestimmtheit, in das schlechte Unendliche zukommt.	Es ist dagegen vorhin gesagt worden,
21	242	join	sure	[zu] liegen, und er selbst wird	deutlicher werden, indem wir die verschiedenen
21	243	new	uncertain	das Verhältniß hat, sich nicht ändert.	Die Darstellung, welche die Unendlichkeit an
21	244	join	sure	wir die beyden Ausdrücke, so stellt	der eine, die unendliche Reihe, ihn
21	245	join	sure	das nicht aufgehoben werden kann, weil	ein auf *qualitativer* Bestimmtheit beruhendes als
21	246	join	sure	Negation (*beyde* Seiten des Verhältnisses sind	nur als *Momente*), ist, hiemit die
21	247	join	sure	wahrhafte, das *relative* Unendliche, – das	gewöhnliche *metaphysische* dagegen, worunter das abstracte,
21	248	join	sure	denn seine *Größe* ist *bestimmt* und	*begrenzt*, und ich kann größere und
21	249	join	sure	Functionen, überhaupt bey den *Functionen* *ver-*	*änderlicher* *Größen* eingeführt hat, und welches
21	250	join	sure	y, sondern nur x und y²	haben einen bestimmten Quotienten. Dadurch sind
21	251	join	sure	auf die sich das Bedürfniß gründet,	weggelassen wird, so daß es dafür
21	252	join	sure	und auf einander bezogen werden –;	sondern sie versetzt eine von daher
21	253	join	sure	daraus erhellen, daß denselben der Gedanke	der Sache, übereinstimmend mit dem hier
21	254	join	sure	– Newton fügt hinzu, daß daraus,	daß es letzte Verhältniße der verschwindenden
21	255	join	sure	daß er vielmehr allein darin besteht,	das Verhältniß rein herauszuheben, und die
21	256	new	sure	Bestimmung des qualitativen Quantitätsmoments rein herauszuheben.	Gegen die angegebenen Bestimmungen steht die
21	257	join	sure	Jedoch kann wieder auf der andern	Seite das *Verfahren* *selbst*, jener Vernachlässigung
21	258	join	sure	werden wollten, nur Nullen wären. –	*Lagrange* (Théorie des fonct. analyt. Introd.)
21	259	join	sure	er sie das einemal in diese	Sphäre herabzieht und sie als Incremente
21	260	join	sure	des einfachen Verhältnisses, auf welches sich	die wirkliche concrete Bestimmung desselben zurückführt,
21	261	join	sure	arithmetisch unrichtige Weglassen der Producte unendlicher	Differenzen oder höherer Ordnungen derselben bey
21	262	join	sure	verfiel, der seinen Gegnern die Gelegenheit	eines Triumphs ihrer Methode über die
21	263	join	sure	Grunde der *relativen* *Kleinheit* derselben.[^fn-270-1] Die	Newtonsche Auflösung enthielt jenen Fehler, *nicht*
21	264	join	sure	wird dabei nicht eine Ungenauigkeit, ein	Fehler oder Irrthum vorausgesetzt, der durch
21	265	join	sure	erhalte, womit die lästige Reihe herein-	kommt, von der ursprünglichen Function; so
21	266	join	sure	fort und dergleichen, sondern den bestimmten	Sinn der qualitativen Bestimmtheit des Quantitativen,
21	267	join	sure	auch k = 0; denn der	Zuwachs k zu y findet nur
21	268	join	sure	aus der Entwicklung eines Binomiums abge-	leitete Function ist, noch für eine
21	269	join	sure	seiner selbst zu seyn; er ist	in die einfache Intensität zusammengesunken, in
21	270	join	sure	als eine Tangente behandelt wird; denn	auch der *Bogen* ist wohl *incommensurabel*
21	271	join	sure	und völlig gleichgültige Annahme, daß un-	*endlich* *kleine* *Theile* desselben Ganzen einander
21	272	join	sure	erstern noch naiven Zeit des Infinitesimalcalculs	sollte von jenen Bestimmungen und Sätzen,
21	273	join	sure	ist das Bewußtseyn hierüber gebildeter ge-	worden; eh dieses aber über den
21	274	join	sure	in wenig Zeit, vielleicht in einer	halben Stunde – mit dem Finden
21	275	new	uncertain	zu *Principien* zu erheben versucht wurde.	Als die Begriffsbestimmtheit des sogenannten *Unendlich-kleinen*
21	276	join	sure	die Gleichungen höherer Ordnungen haben ihr	Interesse und ihre Bemühung allein mit
21	277	join	sure	ganz nur den Charakter solcher *ver-*	*änderlichen* Größen haben, wie sie in
21	278	join	sure	*Functionen* von einander sind. Dadurch ist	die Veränderung der veränderlichen Größen *qualitativ*
21	279	join	sure	worden, insofern sie dazu gekommen ist,	daß ihre Veränderung *durch* *sie* *selbst*
21	280	join	sure	Verhältniß, ganz abstrahirt von dem vorhingenannten	Interesse der *Summe* wird sich als
21	281	new	sure	darin die Weise sie zu finden.	Wir befinden uns hiemit bey der
21	282	new	sure	einer Potenz eingeschlossene Entwicklung genommen wird.	Wenn nun der eigentliche mathematische Anfang
21	283	join	sure	oder auch der Raumgrössen, an welche	eine Art gebunden ist, aus einer
21	284	new	sure	um dessen Finden es sich handelt.	Es ist nicht ohne Interesse, von
21	285	join	sure	*aufgenommen*; sie haben durch die Verallgemeine-	rung ihrer Form und Anwendbarkeit den
21	286	new	sure	*des* *charakteristischen* *Dreyecks* und *jener* *Proportionalität*.	*Lagrange* hat nun diese Simulation verworfen,
21	287	join	sure	ersten zusammenfällt, d. h. Tangente ist;	algebraisch ausgedrückt, daß indem y =
21	288	join	sure	bey ihm die Form der Aufgabe,	gerade Linien senkrecht auf beliebige Orte
21	289	join	sure	Weise erhaltene Endgleichung, welche den Coefficienten	des zweyten Gliedes der quadratischen Gleichung
21	290	join	sure	Gleichheit gleichgültig ist, als welche Be-	stimmung durch den Coefficienten des zweyten
21	291	join	sure	Einheit c, der Größe der Geschwin-	digkeit, proportionirt sind, bietet für die
21	292	join	sure	ct³ wäre, aber die Natur zeige	keine Bewegung dieser Art; wir wüßten
21	293	join	sure	und aus ihr soll die ursprüngliche	Potenzen-Function gefunden werden; die in der
21	294	new	sure	Integralrechnung aufgespart, diese Verhältnisse zu finden.	Ferner aber ist gezeigt worden, daß
21	295	join	sure	der *Ordinate* als *abgeleitete* Function genommen	wird, die relativ ursprüngliche Function der
21	296	new	sure	denen die verlangte Grösse bestehen soll.	Es kann daher nur oberflächlich gesagt
21	297	join	sure	und zu Kleinen, die sich jedesmal	bestimmt haben, ins Unendliche fortzugehen, welches
21	298	join	sure	für den Zweck genügen, das Eigenthümliche	des Verhältnisses von Grössen herauszuheben, welches
21	299	join	sure	gedrückt; obgleich sie es ist, durch	welche in dem, was die *Anwendung*
21	300	join	sure	einer Potenzenfunction zu der Entwicklungspotenz vorhanden	ist. Die qualitative Bestimmtheit ist aber
21	301	join	sure	noch weit entfernt von der Bestim-	mung, die er in dem Differentialcalcul
21	302	join	sure	ihrer als *qualitativer* *Bestimmung* *der* *Räum-*	*lichkeit*, als einer Dimension; das Uebergehen
21	303	join	sure	der Summe der beyden gegenüberstehenden paral-	lelen Linien in die halbe Höhe.
21	304	join	sure	die kleine zur großen Achse, also	wird geschlossen, verhalten [sich] auch die
21	305	join	sure	nicht den Inhalt der Figur als	*continuirlicher* aus, aber den Inhalt, insofern
21	306	join	sure	Behufe von Theoremen über dasselbe al-	lein herauszuheben ist. Die Kategorien, die
21	307	join	sure	drey Stücken *vollendet* aufgezeigt; für die	Bestimmtheit als solche sind somit die
21	308	join	sure	p. 21), indem er die Me-	thode der Untheilbaren gleichfalls gebraucht, jedoch
21	309	join	sure	Die qualitative Verschiedenheit des Discreten mit	dem Continuirlichen überhaupt, enthält gleichfalls eine
21	311	join	sure	Quantum ist nicht nur im *Verhältniß*,	sondern *es* *selbst* *ist* *als* *Verhältniß*
21	312	join	sure	andern. Es ist nur *Eine* Be-	stimmtheit oder Grenze beyder, die selbst
21	313	new	uncertain	muß *dieselbe* Anzahl jener Einheit bleiben.	3. Hienach machen beyde eigentlich nur
21	315	join	sure	aber ist die Veränderung, obgleich nach	dem gleichgültigen quantitativen Momente auch beliebig,
21	316	join	sure	der nach der angegebenen zweyten Bestimmung	die Grenze ihrer gegenseitigen Begrenzung ist.
21	317	join	sure	bestand darin, daß ein Quantum als	unmittelbares zugleich auf ein anderes die
21	318	join	sure	zugleich selbst ein Quantum überhaupt, und	in Quanta auch ausgelegt, ist damit
