surface	cab_norm	count	class	ruling	result	reason
modificirt	modifiziert	3	residual	accept	modifiziert	hegel2
Auſſereinander	Außereinander	3	residual	accept	Außereinander	hegel2
letztern	letzteren	3	residual	reject	letztern	hegel1-tabelle
Beduͤrfniß	Bedürfnis	3	residual	accept	Bedürfnis	hegel2
hoͤchſtens	höchstens	3	residual	accept	höchstens	cab
Auſſer	Außer	3	residual	accept	Außer	hegel1-tabelle
Taͤuſchung	Täuschung	3	residual	accept	Täuschung	hegel1-paare
Calculs	Kalküls	3	residual	reject	Calculs	beibehalten (keine Quelle); prüfen
naͤchſten	nächsten	3	residual	accept	nächsten	hegel1-paare
Groͤßenunterſchied	Größenunterschied	3	residual	accept	Größenunterschied	cab
ſaͤttigen	sättigen	3	residual	accept	sättigen	cab
iſolirt	isoliert	3	residual	accept	isoliert	hegel1-tabelle
vorausſetzen	voraussetzen	3	ss_audit	accept	voraussetzen	cab
verhaͤltnißloſen	verhältnislosen	3	residual	accept	verhältnislosen	hegel2
durchgefuͤhrte	durchgeführte	3	residual	accept	durchgeführte	cab
Beſchaͤftigungen	Beschäftigungen	3	residual	accept	Beschäftigungen	cab
hoͤchſten	höchsten	3	residual	accept	höchsten	hegel1-paare
vorlaͤufig	vorläufig	3	residual	accept	vorläufig	cab
Bewandniß	Bewandtnis	3	residual	accept	Bewandtnis	hegel2
exiſtirt	existiert	3	residual	accept	existiert	hegel1-tabelle
beruͤhrende	berührende	3	residual	accept	berührende	cab
fixirt	fixiert	3	residual	accept	fixiert	hegel1-tabelle
Beſondern	Besonderen	3	residual	rewrite	Besondern	hegel1-tabelle
Waͤre	Wäre	3	residual	accept	Wäre	hegel1-paare
attrahirende	attrahierende	3	residual	accept	attrahierende	cab
Verhaͤltnißexponenten	Verhältnisexponenten	3	residual	accept	Verhältnisexponenten	hegel2
Ruͤckfall	Rückfall	3	residual	accept	Rückfall	cab
Haͤlfte	Hälfte	3	residual	accept	Hälfte	cab
Daſſelbe	Dasselbe	3	ss_audit	accept	Dasselbe	hegel1-paare
moͤge	möge	3	residual	accept	möge	hegel1-paare
conſtituirt	konstituiert	3	residual	accept	konstituiert	hegel1-tabelle
feſthaͤlt	festhält	3	residual	accept	festhält	hegel1-paare
vernuͤnftige	vernünftige	3	residual	accept	vernünftige	hegel1-paare
Staͤrke	Stärke	3	residual	accept	Stärke	hegel1-paare
auszuſchlieſſen	auszuschließen	3	residual	accept	auszuschließen	hegel1-paare
Wiederhohlung	Wiederholung	3	residual	accept	Wiederholung	hegel1-tabelle
abſtrahire	abstrahiere	3	residual	accept	abstrahiere	hegel2
Newtoniſchen	Neutonischen	3	residual	accept	Neutonischen	hegel2
zuſammenhaͤngt	zusammenhängt	3	residual	accept	zusammenhängt	cab
anzufuͤhren	anzuführen	3	residual	accept	anzuführen	hegel1-paare
mannichfaltig	mannigfaltig	3	residual	accept	mannigfaltig	hegel1-tabelle
innre	innere	3	residual	reject	innre	hegel1-tabelle
conſtituiren	konstituieren	3	residual	accept	konstituieren	hegel1-paare
fruͤhern	früheren	3	residual	rewrite	frühern	hegel1-tabelle
voͤllige	völlige	3	residual	accept	völlige	hegel1-paare
Ruͤckgang	Rückgang	3	residual	accept	Rückgang	hegel1-paare
tavtologiſche	tautologische	3	residual	accept	tautologische	hegel2
moͤgen	mögen	3	residual	accept	mögen	hegel1-paare
Waſſer	Wasser	3	ss_audit	accept	Wasser	hegel1-tabelle
aufgehoͤrt	aufgehört	3	residual	accept	aufgehört	hegel1-paare
gewaͤhren	gewähren	3	residual	accept	gewähren	hegel1-paare
kleinern	kleineren	3	residual	accept	kleineren	cab
beſtuͤnde	bestünde	3	residual	accept	bestünde	hegel1-paare
populaͤr	populär	3	residual	accept	populär	cab
uͤberſehen	übersehen	3	residual	accept	übersehen	hegel1-paare
Unbedeutenheit	Unbedeutendheit	3	residual	reject	Unbedeutenheit	hegel1-paare
uͤbergehen	übergehen	3	residual	accept	übergehen	hegel1-paare
raͤumliche	räumliche	3	residual	accept	räumliche	cab
uͤberwaͤltigt	überwältigt	3	residual	accept	überwältigt	hegel1-paare
Quantitaͤtsbeſtimmtheit	Quantitätsbestimmtheit	3	residual	accept	Quantitätsbestimmtheit	cab
Auſſerdem	Außerdem	3	residual	accept	Außerdem	hegel1-tabelle
gegenwaͤrtig	gegenwärtig	3	residual	accept	gegenwärtig	hegel1-paare
aſſertoriſch	assertorisch	3	ss_audit	accept	assertorisch	cab
Selbſtſtaͤndiger	Selbstständiger	3	residual	accept	Selbstständiger	cab
attrahirend	attrahierend	3	residual	accept	attrahierend	hegel2
ſelbſtſtaͤndiges	selbstständiges	3	residual	accept	selbstständiges	hegel1-paare
blos	bloß	3	residual	accept	bloß	hegel2
Fuͤrſichſeyenden	Für-sich-seienden	3	residual	rewrite	Fürsichseienden	hegel2
Foderung	Forderung	3	residual	accept	Forderung	hegel1-tabelle
Auſſen	Außen	3	residual	accept	Außen	hegel1-paare
geſchloſſen	geschlossen	3	ss_audit	accept	geschlossen	hegel1-paare
Kraͤften	Kräften	3	residual	accept	Kräften	cab
Gruͤnden	Gründen	3	residual	accept	Gründen	hegel1-paare
umſchlieſſende	umschließende	3	residual	accept	umschließende	hegel2
zerfaͤllt	zerfällt	3	residual	accept	zerfällt	hegel1-paare
heiſſen	heißen	3	residual	accept	heißen	hegel2
todten	toten	3	residual	accept	toten	hegel1-tabelle
Auſſereinanderſeyn	Auseinandersein	3	residual	rewrite	Außereinandersein	hegel2
tranſcendentalen	transzendentalen	3	residual	accept	transzendentalen	hegel2
ſpaͤter	später	3	residual	accept	später	cab
hoͤchſte	höchste	3	residual	accept	höchste	hegel1-paare
Zaͤhler	Zähler	3	residual	accept	Zähler	cab
Zahlgroͤße	Zahlgröße	3	residual	accept	Zahlgröße	cab
An-ſich-Beſtimmtſeyn	An-sich-Bestimmtseyn	3	cab_unnormalized	rewrite	An-sich-Bestimmtsein	mechanisch
Sproͤdigkeit	Sprödigkeit	3	residual	accept	Sprödigkeit	hegel1-paare
aſſertoriſche	assertorische	3	ss_audit	accept	assertorische	cab
druͤcken	drücken	3	residual	accept	drücken	hegel1-paare
wiſſen	wissen	3	ss_audit	accept	wissen	hegel1-tabelle
Neutraliſirung	Neutralisierung	3	residual	accept	Neutralisierung	hegel2
groͤßeres	größeres	3	residual	accept	größeres	cab
Unmoͤglichkeit	Unmöglichkeit	3	residual	accept	Unmöglichkeit	cab
erſchoͤpft	erschöpft	3	residual	accept	erschöpft	hegel1-paare
nichtſeyend	nichtseiernd	3	residual	accept	nichtseiernd	cab
wiſſenſchaftlich	wissenschaftlich	3	ss_audit	accept	wissenschaftlich	hegel1-paare
natuͤrliche	natürliche	3	residual	accept	natürliche	hegel1-paare
vollſtaͤndige	vollständige	3	residual	accept	vollständige	hegel1-paare
gegruͤndet	gegründet	3	residual	accept	gegründet	hegel1-paare
Einfuͤhrung	Einführung	3	residual	accept	Einführung	cab
itzt	jetzt	3	residual	reject	itzt	hegel1-tabelle
fuͤrſichſeyenden	für-sich-seienden	3	residual	rewrite	fürsichseienden	hegel1-tabelle
allmaͤhlig	allmählich	3	residual	accept	allmählich	cab
zuruͤckzubringen	zurückzubringen	3	residual	accept	zurückzubringen	cab
perennirendes	perennierendes	3	residual	accept	perennierendes	hegel2
fuͤhren	führen	3	residual	accept	führen	hegel1-paare
gewiſſe	gewisse	3	ss_audit	accept	gewisse	hegel1-tabelle
Selbſtſtaͤndigkeiten	Selbstständigkeiten	3	residual	accept	Selbstständigkeiten	hegel1-paare
Flieſſen	Fließen	3	residual	accept	Fließen	hegel2
ausſpricht	ausspricht	3	ss_audit	accept	ausspricht	hegel1-tabelle
…	...	3	residual	accept	...	cab
Inſichſeyns	Insichseyns	3	cab_unnormalized	rewrite	Insichseins	hegel1-paare
aͤltern	älteren	2	residual	accept	älteren	cab
Vernachlaͤſſigung	Vernachlässigung	2	residual	accept	Vernachlässigung	cab
waͤchſt	wächst	2	residual	accept	wächst	hegel1-paare
naͤmlich	nämlich	2	residual	accept	nämlich	hegel1-paare
fuͤr-ſich-ſeyende	für-sich-seyende	2	residual	rewrite	für-sich-seiende	mechanisch
Quantitaͤts-Beſtimmungen	Quantitäts-Bestimmungen	2	residual	accept	Quantitäts-Bestimmungen	cab
neutraliſiren	neutralisieren	2	residual	accept	neutralisieren	hegel2
inſichſeyende	insichseyende	2	cab_unnormalized	rewrite	insichseiende	hegel1-paare
continuirte	kontinuierte	2	residual	accept	kontinuierte	hegel2
tranſcendental	transzendental	2	residual	accept	transzendental	hegel2
daruͤber	darüber	2	residual	accept	darüber	hegel1-paare
Aeuſſerung	Äußerung	2	residual	accept	Äußerung	hegel1-tabelle
nichtſeyendes	nichtseyendes	2	cab_unnormalized	rewrite	nichtseiendes	mechanisch
Gewoͤhnlich	Gewöhnlich	2	residual	accept	Gewöhnlich	cab
uͤbereinſtimmen	übereinstimmen	2	residual	accept	übereinstimmen	hegel1-paare
wiederhohlt	wiederholt	2	residual	accept	wiederholt	hegel1-tabelle
Raͤumlichkeit	Räumlichkeit	2	residual	accept	Räumlichkeit	cab
Differentialien	Differentialja	2	residual	accept	Differentialja	cab
fuͤgt	fügt	2	residual	accept	fügt	cab
trift	trifft	2	residual	accept	trifft	hegel2
Beſtandſtuͤck	Bestandstück	2	residual	accept	Bestandstück	cab
gefodert	gefordert	2	residual	accept	gefordert	hegel1-paare
Capacitaͤten	Kapazitäten	2	residual	accept	Kapazitäten	hegel2
veraͤndernd	verändernd	2	residual	accept	verändernd	cab
erfodert	erfordert	2	residual	accept	erfordert	hegel1-paare
Unabhaͤngigkeit	Unabhängigkeit	2	residual	accept	Unabhängigkeit	cab
zuruͤckkehrende	zurückkehrende	2	residual	accept	zurückkehrende	hegel1-paare
unuͤberwindlichen	unüberwindlichen	2	residual	accept	unüberwindlichen	cab
vorzuͤglich	vorzüglich	2	residual	accept	vorzüglich	hegel1-paare
reflectirenden	reflektierenden	2	residual	accept	reflektierenden	hegel1-tabelle
Erlaͤuterung	Erläuterung	2	residual	accept	Erläuterung	cab
groͤßerer	größerer	2	residual	accept	größerer	cab
Gefuͤhls	Gefühls	2	residual	accept	Gefühls	hegel1-paare
Ausſchlieſſende	Ausschliessende	2	ss_audit	accept	Ausschliessende	cab
unſre	unsere	2	residual	rewrite	unsre	hegel1-tabelle
Aſſertion	Assertion	2	ss_audit	accept	Assertion	cab
weggelaſſenen	weggelassenen	2	ss_audit	accept	weggelassenen	cab
Princips	Prinzips	2	residual	accept	Prinzips	hegel1-paare
Anſich-Beſtimmtſeyn	Ansich-Bestimmtseyn	2	cab_unnormalized	rewrite	Ansich-Bestimmtsein	mechanisch
Schluͤſſe	Schlüsse	2	residual	accept	Schlüsse	hegel1-paare
Ausſchlieſſung	Ausschließung	2	residual	accept	Ausschließung	hegel1-paare
Uebergehens	Übergehens	2	residual	accept	Übergehens	hegel1-tabelle
An-ſich-ſeyn	An-sich-seyn	2	cab_unnormalized	rewrite	An-sich-sein	mechanisch
Qualificiren	Qualifizieren	2	residual	accept	Qualifizieren	cab
ungeſchikt	ungeschickt	2	residual	accept	ungeschickt	hegel2
fodert	fordert	2	residual	accept	fordert	hegel1-paare
Ichs	Ich_es	2	residual	reject	Ichs	hegel1-paare
Miſchungsverhaͤltniſſe	Mischungsverhältnisse	2	residual	accept	Mischungsverhältnisse	cab
Geſchaͤft	Geschäft	2	residual	accept	Geschäft	cab
Diſſertation	Dissertation	2	ss_audit	accept	Dissertation	cab
In-ſich-zuruͤckgekehrtſeyns	In-sich-zurückgekehrtseyns	2	residual	rewrite	In-sich-zurückgekehrtseins	mechanisch
zuruͤckkommt	zurückkommt	2	residual	accept	zurückkommt	hegel1-paare
vorausſetze	voraussetze	2	ss_audit	accept	voraussetze	cab
Verhaͤltnißmomente	Verhältnismomente	2	residual	accept	Verhältnismomente	cab
Vernuͤnftige	Vernünftige	2	residual	accept	Vernünftige	cab
ſummirbaren	summierbaren	2	residual	accept	summierbaren	hegel2
Groͤſſe	Größe	2	residual	accept	Größe	hegel1-tabelle
neutraliſirend	neutralisierend	2	residual	accept	neutralisierend	hegel2
zuruͤckgerufen	zurückgerufen	2	residual	accept	zurückgerufen	cab
Spinoza’s	Spinozas	2	residual	accept	Spinozas	cab
Naͤher	Näher	2	residual	accept	Näher	hegel1-paare
ſchraͤnkt	schränkt	2	residual	accept	schränkt	hegel1-paare
laͤngſt	längst	2	residual	accept	längst	hegel1-paare
Muͤhe	Mühe	2	residual	accept	Mühe	hegel1-paare
traͤte	träte	2	residual	accept	träte	hegel1-paare
Raumerfuͤllung	Raumerfüllung	2	residual	accept	Raumerfüllung	cab
Verhaͤltnißzahlen	Verhältniszahlen	2	residual	accept	Verhältniszahlen	hegel2
uͤbergetragen	übergetragen	2	residual	accept	übergetragen	hegel1-paare
Ausſchlieſſens	Ausschließens	2	residual	accept	Ausschließens	hegel2
Zuſammen„geſetzte	Zusammengesetzte	2	residual	accept	Zusammengesetzte	cab
beſchloſſen	beschlossen	2	ss_audit	accept	beschlossen	hegel1-paare
verſtaͤndlich	verständlich	2	residual	accept	verständlich	cab
veraͤnderte	veränderte	2	residual	accept	veränderte	hegel1-paare
abhaͤngen	abhängen	2	residual	accept	abhängen	hegel1-paare
hiebey	hierbei	2	residual	accept	hierbei	hegel1-paare
Seynsfuͤr-	Seynsfür-	2	residual	rewrite	Seinsfür-	mechanisch
Sehens	Sehen_es	2	residual	reject	Sehens	hegel1-tabelle
entſtuͤnde	entstünde	2	residual	accept	entstünde	hegel1-paare
Wuͤrzb.	Würzb.	2	residual	accept	Würzb.	cab
an-ſich-Beſtimmtſeyn	an-sich-Bestimmtseyn	2	cab_unnormalized	rewrite	an-sich-Bestimmtsein	mechanisch
gehoͤre	gehöre	2	residual	accept	gehöre	cab
gegenuͤberſteht	gegenübersteht	2	residual	accept	gegenübersteht	hegel1-paare
eignes	eigenes	2	residual	reject	eignes	hegel1-tabelle
beſtuͤnden	bestünden	2	residual	accept	bestünden	cab
attrahirt	attrahiert	2	residual	accept	attrahiert	hegel1-tabelle
concretern	konkreteren	2	residual	reject	concretern	beibehalten (keine Quelle); prüfen
zehente	zehnte	2	residual	accept	zehnte	hegel2
oberflaͤchliche	oberflächliche	2	residual	accept	oberflächliche	hegel1-paare
abhaͤngig	abhängig	2	residual	accept	abhängig	hegel1-paare
auſſerdem	außerdem	2	residual	accept	außerdem	hegel1-tabelle
Aeuſſerlichen	Äußerlichen	2	residual	accept	Äußerlichen	hegel1-paare
Maaßmomente	Maßmomente	2	residual	accept	Maßmomente	hegel2
Hoͤhe	Höhe	2	residual	accept	Höhe	hegel1-paare
vorlaͤufige	vorläufige	2	residual	accept	vorläufige	cab
continuiren	kontinuieren	2	residual	accept	kontinuieren	hegel2
Groͤßenunterſchiede	Größenunterschiede	2	residual	accept	Größenunterschiede	cab
duͤrfen	dürfen	2	residual	accept	dürfen	hegel1-paare
uͤben	üben	2	residual	accept	üben	cab
qualificirte	qualifizierte	2	residual	accept	qualifizierte	cab
reducirt	reduziert	2	residual	accept	reduziert	hegel1-tabelle
eigner	eigener	2	residual	reject	eigner	hegel1-tabelle
verhaͤltnißloſes	verhältnisloses	2	residual	accept	verhältnisloses	cab
ausgeſchloſſenen	ausgeschlossenen	2	ss_audit	accept	ausgeschlossenen	hegel1-paare
Uebergewicht	Übergewicht	2	residual	accept	Übergewicht	hegel2
Decimalbruͤchen	Dezimalbrüchen	2	residual	accept	Dezimalbrüchen	hegel2
perennirenden	perennierenden	2	residual	accept	perennierenden	hegel1-paare
aͤuſſeres	äußeres	2	residual	accept	äußeres	hegel1-tabelle
temperirt	temperiert	2	residual	accept	temperiert	hegel2
einemahl	einemmal	2	residual	accept	einemmal	hegel2
uͤberſchreiten	überschreiten	2	residual	accept	überschreiten	cab
willkuͤhrlicher	willkürlicher	2	residual	accept	willkürlicher	hegel2
erlaͤutert	erläutert	2	residual	accept	erläutert	cab
Daſeyenden	Da-seienden	2	residual	rewrite	Daseienden	hegel2
Groͤßen-	Größen-	2	residual	accept	Größen-	cab
verfloſſen	verflossen	2	ss_audit	accept	verflossen	cab
modificiren	modifizieren	2	residual	accept	modifizieren	hegel2
vorausgeſchikt	vorausgeschickt	2	residual	accept	vorausgeschickt	hegel2
Graden	Geraden	2	residual	accept	Geraden	hegel2
Maaßloſigkeit	Maßlosigkeit	2	residual	accept	Maßlosigkeit	hegel2
eingehuͤllt	eingehüllt	2	residual	accept	eingehüllt	hegel1-paare
anſichſeyenden	an-sich-seienden	2	residual	rewrite	ansichseienden	hegel1-tabelle
anzugehoͤren	anzugehören	2	residual	accept	anzugehören	hegel1-paare
hoͤchſt	höchst	2	residual	accept	höchst	hegel1-paare
Waͤrme	Wärme	2	residual	accept	Wärme	hegel1-paare
Gefuͤhl	Gefühl	2	residual	accept	Gefühl	hegel1-paare
In-ſich-ſeyn	In-sich-seyn	2	cab_unnormalized	rewrite	In-sich-sein	mechanisch
allmaͤhlige	allmähliche	2	residual	accept	allmähliche	hegel1-paare
Nichtſeyendes	Nichtseyendes	2	cab_unnormalized	rewrite	Nichtseiendes	hegel2
paſſend	passend	2	ss_audit	accept	passend	cab
abſtoſſend	abstoßend	2	residual	accept	abstoßend	hegel2
auſſen	außen	2	residual	accept	außen	hegel1-tabelle
angemeſſen	angemessen	2	ss_audit	accept	angemessen	hegel1-paare
fuͤhlt	fühlt	2	residual	accept	fühlt	hegel1-paare
Ruͤkſchritt	Rückschritt	2	residual	accept	Rückschritt	hegel2
muͤßten	müßten	2	residual	rewrite	müssten	hegel2
Einwuͤrfe	Einwürfe	2	residual	accept	Einwürfe	cab
Raͤſonnements	Räsonnements	2	residual	accept	Räsonnements	cab
beſchraͤnktes	beschränktes	2	residual	accept	beschränktes	hegel1-paare
unabhaͤngig	unabhängig	2	residual	accept	unabhängig	hegel1-paare
abhaͤlt	abhält	2	residual	accept	abhält	cab
Dieß	Dies	2	residual	accept	Dies	hegel2
tiefern	tieferen	2	residual	accept	tieferen	cab
Laͤßt	Läßt	2	residual	accept	Läßt	cab
moͤglichen	möglichen	2	residual	accept	möglichen	cab
zuruͤckgehende	zurückgehende	2	residual	accept	zurückgehende	hegel1-paare
wuͤrdig	würdig	2	residual	accept	würdig	hegel1-paare
Meſſen	Messen	2	ss_audit	accept	Messen	cab
Pendellaͤnge	Pendellänge	2	residual	accept	Pendellänge	cab
andremal	anderemal	2	residual	reject	andremal	hegel1-tabelle
Ausſprechen	Aussprechen	2	ss_audit	accept	Aussprechen	hegel1-tabelle
oberflaͤchlichſten	oberflächlichsten	2	residual	accept	oberflächlichsten	cab
Genuͤge	Genüge	2	residual	accept	Genüge	cab
oberflaͤchlich	oberflächlich	2	residual	accept	oberflächlich	hegel1-paare
zufaͤlligen	zufälligen	2	residual	accept	zufälligen	hegel1-paare
Maaßbeſtimmung	Maßbestimmung	2	residual	accept	Maßbestimmung	hegel2
abnaͤhme	abnähme	2	residual	accept	abnähme	cab
Gebraͤue	Gebräue	2	residual	accept	Gebräue	cab
Koͤrpern	Körpern	2	residual	accept	Körpern	hegel1-paare
gegenſtaͤndlichen	gegenständlichen	2	residual	accept	gegenständlichen	hegel1-paare
uͤbereinſtimmend	übereinstimmend	2	residual	accept	übereinstimmend	cab
aufloͤſen	auflösen	2	residual	accept	auflösen	hegel1-paare
zuruͤckkehren	zurückkehren	2	residual	accept	zurückkehren	hegel1-paare
raͤumlichen	räumlichen	2	residual	accept	räumlichen	hegel1-paare
Verhaͤltnißzahl	Verhältniszahl	2	residual	accept	Verhältniszahl	hegel2
Groͤßebeſtimmtheiten	Größebestimmtheiten	2	residual	accept	Größebestimmtheiten	cab
Specificiren	Spezifizieren	2	residual	accept	Spezifizieren	cab
Himmelskoͤrper	Himmelskörper	2	residual	accept	Himmelskörper	cab
Ruͤckſichten	Rücksichten	2	residual	accept	Rücksichten	hegel1-paare
Aeuſſeres	Äußeres	2	residual	accept	Äußeres	hegel1-tabelle
gemaͤß	gemäß	2	residual	accept	gemäß	cab
repellirende	rebellierende	2	residual	accept	rebellierende	hegel2
Zuſammenhange	Zusammenhänge	2	residual	rewrite	Zusammenhange	hegel1-tabelle
ſtaͤrker	stärker	2	residual	accept	stärker	hegel1-paare
Bemuͤhungen	Bemühungen	2	residual	accept	Bemühungen	hegel1-paare
unvollſtaͤndig	unvollständig	2	residual	accept	unvollständig	hegel1-paare
vergeſſen	vergessen	2	ss_audit	accept	vergessen	hegel1-tabelle
beruͤhren	berühren	2	residual	accept	berühren	hegel1-paare
Quantitaͤtsverhaͤltniß	Quantitätsverhältnis	2	residual	accept	Quantitätsverhältnis	hegel2
weglaͤßt	wegläßt	2	residual	rewrite	weglässt	hegel2
Gefuͤhle	Gefühle	2	residual	accept	Gefühle	hegel1-paare
erfuͤllten	erfüllten	2	residual	accept	erfüllten	hegel1-paare
Qualitativitaͤt	Qualitativität	2	residual	accept	Qualitativität	cab
Fuͤr	Für	2	residual	accept	Für	hegel1-paare
Raͤumen	Räumen	2	residual	accept	Räumen	cab
Fuͤr-ſich-ſeyn	Für-sich-seyn	2	residual	rewrite	Für-sich-sein	mechanisch
Vorzuͤge	Vorzüge	2	residual	accept	Vorzüge	cab
Character	Charakter	2	residual	accept	Charakter	hegel2
Schluͤſſen	Schlüssen	2	residual	accept	Schlüssen	cab
unaufgeloͤst	unaufgelöst	2	residual	accept	unaufgelöst	cab
Realiſirung	Realisierung	2	residual	accept	Realisierung	hegel1-tabelle
Zu„ſammenſetzung	Zusammensetzung	2	residual	accept	Zusammensetzung	cab
vielfaͤltig	vielfältig	2	residual	accept	vielfältig	cab
ſubſumirt	subsumiert	2	residual	accept	subsumiert	hegel1-paare
ſchlaͤgt	schlägt	2	residual	accept	schlägt	hegel1-paare
Angefuͤhrte	Angeführte	2	residual	accept	Angeführte	cab
continuirlicher	kontinuierlicher	2	residual	accept	kontinuierlicher	hegel2
aufgefuͤhrt	aufgeführt	2	residual	accept	aufgeführt	cab
Grundverhaͤltniſſe	Grundverhältnisse	2	residual	accept	Grundverhältnisse	cab
weitlaͤufiger	weitläufiger	2	residual	accept	weitläufiger	cab
Differential-Coefficienten	Differential-Koeffizienten	2	residual	accept	Differential-Koeffizienten	cab
Objectiviren	Objektivieren	2	residual	accept	Objektivieren	hegel2
Erfuͤllung	Erfüllung	2	residual	accept	Erfüllung	hegel1-paare
Zuſammenfaſſen	Zusammenfassen	2	ss_audit	accept	Zusammenfassen	cab
erfuͤlle	erfülle	2	residual	accept	erfülle	hegel1-paare
geaͤndert	geändert	2	residual	accept	geändert	hegel1-paare
geſchoͤpft	geschöpft	2	residual	accept	geschöpft	cab
geruͤgten	gerügten	2	residual	accept	gerügten	cab
ſtuͤnde	stünde	2	residual	accept	stünde	hegel1-paare
Einsſeyn	Einssein	2	ss_audit	accept	Einssein	hegel1-tabelle
Subjectivitaͤt	Subjektivität	2	residual	accept	Subjektivität	hegel1-paare
hiezu	hierzu	2	residual	accept	hierzu	hegel1-paare
mannichfaltiger	mannigfaltiger	2	residual	accept	mannigfaltiger	hegel1-tabelle
uͤberall	überall	2	residual	accept	überall	hegel1-paare
beſtimmtern	bestimmteren	2	residual	rewrite	bestimmtern	hegel1-paare
aufzufaſſen	aufzufassen	2	ss_audit	accept	aufzufassen	hegel1-tabelle
Beſchraͤnken	Beschränken	2	residual	accept	Beschränken	cab
populaͤren	populären	2	residual	accept	populären	cab
Vermoͤgenszuſtand	Vermögenszustand	2	residual	accept	Vermögenszustand	cab
Erlaͤuterungen	Erläuterungen	2	residual	accept	Erläuterungen	cab
Flaͤchenkraft	Flächenkraft	2	residual	accept	Flächenkraft	cab
urſpruͤngliches	ursprüngliches	2	residual	accept	ursprüngliches	hegel1-paare
haͤngt	hängt	2	residual	accept	hängt	hegel1-paare
Fuͤlle	Fülle	2	residual	accept	Fülle	hegel1-paare
Misverſtand	Missverstand	2	residual	accept	Missverstand	hegel2
Seyender-fuͤr-	Seyender-für-	2	residual	rewrite	Seiender-für-	mechanisch
Grundmaaß	Grundmaß	2	residual	accept	Grundmaß	hegel2
oͤffentlichen	öffentlichen	2	residual	accept	öffentlichen	hegel1-paare
verlaſſen	verlassen	2	ss_audit	accept	verlassen	hegel1-paare
Widerſpruͤche	Widersprüche	2	residual	accept	Widersprüche	hegel1-paare
gehoͤrte	gehörte	2	residual	accept	gehörte	hegel1-paare
Neuern	Neueren	2	residual	accept	Neueren	cab
befaͤnde	befände	2	residual	accept	befände	cab
afficirt	affiziert	2	residual	accept	affiziert	hegel1-tabelle
gewiſſer	gewisser	2	ss_audit	accept	gewisser	cab
erwaͤhnten	erwähnten	2	residual	accept	erwähnten	hegel1-paare
wiſſenſchaftliche	wissenschaftliche	2	ss_audit	accept	wissenschaftliche	hegel1-tabelle
hoͤrte	hörte	2	residual	accept	hörte	hegel1-paare
insgeſammt	insgesamt	2	residual	accept	insgesamt	hegel2
traͤge	träge	2	residual	accept	träge	hegel1-paare
willkuͤhrliches	Willkürliches	2	residual	accept	Willkürliches	hegel2
aufzuloͤſen	aufzulösen	2	residual	accept	aufzulösen	hegel1-paare
ſucceſſive	sukzessive	2	residual	accept	sukzessive	hegel2
uͤberwinden	überwinden	2	residual	accept	überwinden	hegel1-paare
Accent	Akzent	2	residual	accept	Akzent	hegel1-tabelle
Haͤrte	Härte	2	residual	accept	Härte	hegel1-paare
Itzt	Jetzt	2	residual	reject	Itzt	hegel1-tabelle
intereſſant	interessant	2	ss_audit	accept	interessant	hegel1-paare
aͤuſſerer	äußerer	2	residual	accept	äußerer	hegel1-tabelle
Uebergangs	Übergangs	2	residual	accept	Übergangs	hegel1-paare
uͤbergehend	übergehend	2	residual	accept	übergehend	hegel1-paare
reſultiren	resultieren	2	residual	accept	resultieren	hegel2
raͤumlich	räumlich	2	residual	accept	räumlich	cab
Ueberſchriften	Überschriften	2	residual	accept	Überschriften	hegel2
uͤbergreift	übergreift	2	residual	accept	übergreift	hegel1-paare
wiſſenſchaftlicher	wissenschaftlicher	2	ss_audit	accept	wissenschaftlicher	cab
iſolirtes	isoliertes	2	residual	accept	isoliertes	hegel2
Intenſitaͤten	Intensitäten	2	residual	accept	Intensitäten	cab
beſtaͤndig	beständig	2	residual	accept	beständig	hegel1-paare
Verhaͤltnißbeſtimmung	Verhältnisbestimmung	2	residual	accept	Verhältnisbestimmung	hegel2
iſolirten	isolierten	2	residual	accept	isolierten	hegel1-paare
tavtologiſcher	tautologischer	2	residual	accept	tautologischer	hegel2
attrahirenden	attrahierenden	2	residual	accept	attrahierenden	hegel2
ausuͤbt	ausübt	2	residual	accept	ausübt	hegel1-paare
Lehrbuͤchern	Lehrbüchern	2	residual	accept	Lehrbüchern	cab
Reflectiren	Reflektieren	2	residual	accept	Reflektieren	hegel1-paare
Ueberhaupt	Überhaupt	2	residual	accept	Überhaupt	hegel2
begruͤndet	begründet	2	residual	accept	begründet	cab
Erklaͤren	Erklären	2	residual	accept	Erklären	hegel1-paare
anderwaͤrts	anderwärts	2	residual	accept	anderwärts	cab
Punktualitaͤt	Punktualität	2	residual	accept	Punktualität	cab
Weglaſſung	Weglassung	2	ss_audit	accept	Weglassung	cab
nemlichen	nämlichen	2	residual	accept	nämlichen	hegel2
Verfaſſung	Verfassung	2	ss_audit	accept	Verfassung	cab
paſſenden	passenden	1	ss_audit	accept	passenden	cab
Nichts-Sagen	Nicht-Sagen	1	residual	accept	Nicht-Sagen	cab
anknuͤpfen	anknüpfen	1	residual	accept	anknüpfen	cab
Meſſer	Messer	1	ss_audit	accept	Messer	cab
ſubſtanzielle	substantielle	1	residual	accept	substantielle	hegel2
Irritabilitaͤt	Irritabilität	1	residual	accept	Irritabilität	hegel1-paare
guͤltig	gültig	1	residual	accept	gültig	hegel1-paare
